Dates conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,Lib,SNP,Grn,Others,Lead,date_year_appended,end_date
13 Jul,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,13 Jul 2016,2016-07-13
9–11 Jul,Ipsos MORI,1021,36%,35%,8%,11%,5%,4%,1%,1%,9–11 Jul 2016,2016-07-11
8–10 Jul,ICM,2025,38%,30%,15%,8%,5%,4%,1%,8%,8–10 Jul 2016,2016-07-10
4–5 Jul,Survation/Constitutional Research Council,1008,36%,32%,12%,9%,6%,–,7%,4%,4–5 Jul 2016,2016-07-05
1–3 Jul,ICM,1979,37%,30%,15%,8%,5%,4%,2%,7%,1–3 Jul 2016,2016-07-03
28–30 Jun,Opinium,2006,34%,29%,17%,7%,5%,4%,2%,5%,28–30 Jun 2016,2016-06-30
24–26 Jun,ICM/The Guardian,2001,36%,32%,15%,7%,5%,5%,1%,4%,24–26 Jun 2016,2016-06-26
24–25 Jun,Survation/Mail on Sunday,1033,32%,32%,16%,9%,4%,4%,2%,Tie,24–25 Jun 2016,2016-06-25
23 Jun,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,23 Jun 2016,2016-06-23
20–22 Jun,Opinium,3011,34%,30%,19%,6%,6%,4%,2%,4%,20–22 Jun 2016,2016-06-22
14–17 Jun,Opinium/Observer,2006,34%,30%,18%,6%,6%,4%,1%,4%,14–17 Jun 2016,2016-06-17
16 Jun,"Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June",16 Jun 2016,2016-06-16
15–16 Jun,"ComRes/Sunday Mirror, Independent on Sunday",2046,34%,29%,19%,8%,5%,4%,2%,5%,15–16 Jun 2016,2016-06-16
11–14 Jun,Ipsos MORI/Evening Standard,1257,35%,34%,10%,9%,5%,4%,3%,1%,11–14 Jun 2016,2016-06-14
10–13 Jun,ICM/The Guardian,2001,34%,30%,19%,8%,4%,4%,1%,4%,10–13 Jun 2016,2016-06-13
10–13 Jun,ICM/The Guardian,1000,34%,33%,14%,9%,4%,5%,2%,1%,10–13 Jun 2016,2016-06-13
7–10 Jun,Opinium/Observer,2009,35%,32%,18%,4%,5%,4%,1%,3%,7–10 Jun 2016,2016-06-10
31 May–3 Jun,Opinium/Observer,2007,34%,30%,18%,6%,6%,4%,2%,4%,31 May–3 Jun 2016,2016-06-03
27–29 May,ICM/The Guardian,2052,36%,31%,17%,7%,4%,4%,2%,5%,27–29 May 2016,2016-05-29
27–29 May,ICM/The Guardian,1004,36%,32%,15%,7%,4%,3%,2%,4%,27–29 May 2016,2016-05-29
17–19 May,Opinium/Observer,2008,35%,30%,18%,5%,6%,5%,2%,5%,17–19 May 2016,2016-05-19
14–16 May,Ipsos MORI/Evening Standard,1002,36%,34%,10%,8%,5%,5%,2%,2%,14–16 May 2016,2016-05-16
13–15 May,ICM/The Guardian,1002,36%,34%,13%,7%,4%,4%,2%,2%,13–15 May 2016,2016-05-15
13–15 May,ICM/The Guardian,2048,34%,32%,17%,7%,5%,4%,1%,2%,13–15 May 2016,2016-05-15
11–12 May,"ComRes/Sunday Mirror, Independent on Sunday",2043,36%,30%,17%,8%,5%,4%,–,6%,11–12 May 2016,2016-05-12
5 May,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,5 May 2016,2016-05-05
26–29 Apr,Opinium/Observer,2005,38%,30%,15%,5%,5%,5%,2%,8%,26–29 Apr 2016,2016-04-29
25–26 Apr,YouGov/The Times,1650,30%,33%,20%,6%,8%[b],3%,–,3%,25–26 Apr 2016,2016-04-26
22–26 Apr,BMG Research,1375,33%,32%,18%,6%,5%,4%,2%,1%,22–26 Apr 2016,2016-04-26
16–18 Apr,Ipsos MORI/Evening Standard,1026,38%,35%,11%,6%,6%,3%,1%,3%,16–18 Apr 2016,2016-04-18
15–17 Apr,ICM/The Guardian,1003,38%,33%,13%,7%,5%,3%,1%,5%,15–17 Apr 2016,2016-04-17
15–17 Apr,ICM/The Guardian,2008,36%,31%,16%,7%,4%,4%,2%,5%,15–17 Apr 2016,2016-04-17
13–14 Apr,"ComRes/Sunday Mirror, Independent on Sunday",2036,35%,30%,16%,8%,5%,4%,1%,5%,13–14 Apr 2016,2016-04-14
11–12 Apr,YouGov/The Times,1639,31%,34%,17%,8%,7%[b],3%,–,3%,11–12 Apr 2016,2016-04-12
29 Mar–1 Apr,Opinium/Observer,1966,33%,32%,17%,5%,6%,4%,2%,1%,29 Mar–1 Apr 2016,2016-04-01
24–29 Mar,BMG Research,1298,36%,31%,16%,7%,5%,5%,2%,5%,24–29 Mar 2016,2016-03-29
19–22 Mar,Ipsos MORI,1023,36%,34%,11%,10%,5%,3%,2%,2%,19–22 Mar 2016,2016-03-22
18–20 Mar,ComRes/Daily Mail,1002,37%,35%,9%,7%,5%,4%,2%,2%,18–20 Mar 2016,2016-03-20
16–17 Mar,YouGov/The Times,1691,33%,34%,16%,6%,6%[b],3%,2%,1%,16–17 Mar 2016,2016-03-17
11–13 Mar,ICM/The Guardian,1001,36%,36%,11%,8%,3%,3%,1%,Tie,11–13 Mar 2016,2016-03-13
9–10 Mar,"ComRes/Sunday Mirror, Independent on Sunday",2059,38%,29%,16%,7%,4%,4%,1%,9%,9–10 Mar 2016,2016-03-10
21–23 Feb,YouGov/The Times,3482,37%,30%,16%,8%,6%[b],3%,–,7%,21–23 Feb 2016,2016-02-23
17–23 Feb,BMG Research,1268,38%,30%,16%,5%,5%,5%,2%,8%,17–23 Feb 2016,2016-02-23
19–22 Feb,ComRes/Daily Mail,1000,38%,31%,12%,8%,4%,3%,3%,7%,19–22 Feb 2016,2016-02-22
13–16 Feb,Ipsos MORI,1001,39%,33%,12%,6%,6%,3%,2%,6%,13–16 Feb 2016,2016-02-16
12–14 Feb,ICM/The Guardian,1004,39%,32%,11%,7%,4%,4%,3%,7%,12–14 Feb 2016,2016-02-14
10–12 Feb,"ComRes/Sunday Mirror, Independent on Sunday",2018,41%,27%,15%,9%,5%,3%,1%,14%,10–12 Feb 2016,2016-02-12
3–4 Feb,YouGov/The Times,1675,39%,29%,18%,6%,4%[b],3%,1%,10%,3–4 Feb 2016,2016-02-04
27–28 Jan,YouGov,1735,39%,30%,17%,6%,4%[b],3%,1%,9%,27–28 Jan 2016,2016-01-28
23–25 Jan,Ipsos MORI,1027,40%,31%,11%,7%,5%,4%,1%,9%,23–25 Jan 2016,2016-01-25
22–24 Jan,ComRes/Daily Mail,1006,37%,32%,12%,6%,4%,4%,4%,5%,22–24 Jan 2016,2016-01-24
15–17 Jan,ICM/The Guardian,1001,40%,35%,10%,6%,4%,3%,2%,5%,15–17 Jan 2016,2016-01-17
15–16 Jan,Survation/Mail on Sunday,1017,37%,30%,16%,7%,5%,3%,3%,7%,15–16 Jan 2016,2016-01-16
13–15 Jan,"ComRes/Sunday Mirror, Independent on Sunday",2004,40%,29%,16%,7%,4%,3%,1%,11%,13–15 Jan 2016,2016-01-15
8–14 Jan,Panelbase/Sunday Times,2087,39%,31%,14%,6%,5%,5%,–,8%,8–14 Jan 2016,2016-01-14
Date(s) conducted,Polling organisation/client,Sample size,,,,,,,Others,Lead,Date(s) conducted 2015,
18–20 Dec,ICM/The Guardian,1003,39%,34%,10%,7%,4%,3%,3%,5%,18–20 Dec 2015,2015-12-20
17–18 Dec,YouGov/The Times,1598,39%,29%,17%,6%,5%[b],3%,1%,10%,17–18 Dec 2015,2015-12-18
15–18 Dec,Opinium/Observer,1936,38%,30%,16%,5%,6%,5%,2%,8%,15–18 Dec 2015,2015-12-18
12–14 Dec,Ipsos MORI/Evening Standard,1040,38%,31%,9%,9%,5%,6%,2%,7%,12–14 Dec 2015,2015-12-14
11–13 Dec,ComRes/Daily Mail,1001,37%,33%,11%,7%,4%,5%,2%,4%,11–13 Dec 2015,2015-12-13
9–11 Dec,"ComRes/Independent on Sunday, Sunday Mirror",2049,40%,29%,16%,7%,4%,3%,1%,11%,9–11 Dec 2015,2015-12-11
3 Dec,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,Oldham West and Royton by-election,3 Dec 2015,2015-12-03
30 Nov–1 Dec,YouGov/The Times,1657,41%,30%,16%,6%,4%[b],3%,1%,11%,30 Nov–1 Dec 2015,2015-12-01
20–24 Nov,YouGov,4317,38%,29%,17%,6%,5%[b],3%,1%,9%,20–24 Nov 2015,2015-11-24
20–22 Nov,ComRes/Daily Mail,1000,40%,29%,11%,8%,4%,3%,4%,11%,20–22 Nov 2015,2015-11-22
18–20 Nov,"ComRes/Independent on Sunday, Sunday Mirror",2067,42%,27%,15%,7%,5%,3%,1%,15%,18–20 Nov 2015,2015-11-20
16–17 Nov,Survation/Leave.EU[d],1546,37%,30%,16%,6%,5%,3%,3%,7%,16–17 Nov 2015,2015-11-17
14–17 Nov,Ipsos MORI/Evening Standard,1021,41%,34%,7%,7%,6%,4%,-,7%,14–17 Nov 2015,2015-11-17
11–17 Nov,BMG Research,1334,37%,30%,15%,7%,4%,4%,2%,7%,11–17 Nov 2015,2015-11-17
13–15 Nov,ICM/The Guardian,1006,39%,33%,12%,7%,5%,3%,1%,6%,13–15 Nov 2015,2015-11-15
9–11 Nov,Survation/Leave.EU[d],2007,36%,30%,15%,7%,5%,3%,3%,6%,9–11 Nov 2015,2015-11-11
22–27 Oct,BMG Research,1467,37%,31%,15%,6%,4%,5%,2%,6%,22–27 Oct 2015,2015-10-27
23–25 Oct,ComRes/Daily Mail,1002,38%,33%,10%,8%,3%,3%,4%,5%,23–25 Oct 2015,2015-10-25
17–19 Oct,Ipsos MORI/Evening Standard,1021,36%,32%,12%,10%,5%,3%,2%,4%,17–19 Oct 2015,2015-10-19
13–16 Oct,Opinium,1934,37%,32%,15%,5%,6%,4%,2%,5%,13–16 Oct 2015,2015-10-16
14–15 Oct,"ComRes/Independent on Sunday, Sunday Mirror",2051,42%,29%,13%,7%,5%,3%,1%,13%,14–15 Oct 2015,2015-10-15
9–11 Oct,ICM/The Guardian,1002,38%,34%,11%,7%,5%,3%,3%,4%,9–11 Oct 2015,2015-10-11
29–30 Sep,YouGov/The Sun,2064,37%,31%,17%,7%,5%[b],2%,1%,6%,29–30 Sep 2015,2015-09-30
26–28 Sep,ComRes/Daily Mail,1009,39%,30%,12%,9%,4%,4%,3%,9%,26–28 Sep 2015,2015-09-28
21–22 Sep,Survation/Huffington Post,1008,37%,32%,13%,9%,5%,3%,1%,5%,21–22 Sep 2015,2015-09-22
19–22 Sep,Ipsos MORI/Evening Standard,1255,39%,34%,7%,9%,5%,4%,1%,5%,19–22 Sep 2015,2015-09-22
17–18 Sep,YouGov/Sunday Times,1601,39%,31%,16%,6%,5%[b],3%,1%,8%,17–18 Sep 2015,2015-09-18
15–18 Sep,Opinium,1942,37%,32%,14%,6%,5%,4%,1%,5%,15–18 Sep 2015,2015-09-18
16–17 Sep,"ComRes/Independent on Sunday, Sunday Mirror",2015,42%,30%,13%,7%,5%,3%,1%,12%,16–17 Sep 2015,2015-09-17
11–13 Sep,ICM/The Guardian,1006,38%,32%,13%,8%,5%,3%,2%,6%,11–13 Sep 2015,2015-09-13
12 Sep,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,12 Sep 2015,2015-09-12
3–4 Sep,Survation/Mail on Sunday,1004,38%,32%,13%,6%,5%,4%,2%,6%,3–4 Sep 2015,2015-09-04
21–23 Aug,ComRes/Daily Mail,1001,42%,28%,9%,8%,5%,6%,3%,14%,21–23 Aug 2015,2015-08-23
12–13 Aug,"ComRes/Independent on Sunday, Sunday Mirror",2035,40%,29%,13%,8%,5%,4%,1%,11%,12–13 Aug 2015,2015-08-13
12–13 Aug,Survation/TSSA,1007,38%,33%,15%,6%,5%,3%,1%,5%,12–13 Aug 2015,2015-08-13
7–9 Aug,ICM/The Guardian,1000,40%,31%,10%,7%,5%,4%,2%,9%,7–9 Aug 2015,2015-08-09
24–26 Jul,ComRes/Daily Mail,1001,40%,28%,10%,7%,5%,5%,4%,12%,24–26 Jul 2015,2015-07-26
18–20 Jul,Ipsos MORI/Evening Standard,1026,37%,31%,9%,10%,5%,8%,1%,6%,18–20 Jul 2015,2015-07-20
16 Jul,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,16 Jul 2015,2015-07-16
10–12 Jul,ICM/The Guardian,1005,38%,34%,13%,6%,4%,4%,1%,4%,10–12 Jul 2015,2015-07-12
26–28 Jun,ComRes/Daily Mail,1002,39%,27%,11%,9%,5%,6%,3%,12%,26–28 Jun 2015,2015-06-28
14–16 Jun,Ipsos MORI/Evening Standard,1005,39%,30%,8%,9%,5%,6%,2%,9%,14–16 Jun 2015,2015-06-16
12–14 Jun,ICM/The Guardian,1004,37%,31%,13%,8%,5%,5%,1%,6%,12–14 Jun 2015,2015-06-14
29–31 May,ComRes/Daily Mail,1000,41%,29%,10%,8%,5%,5%,3%,12%,29–31 May 2015,2015-05-31
25–26 May,YouGov/The Sun,1709,41%,30%,13%,7%,4%[b],4%,1%,11%,25–26 May 2015,2015-05-26
8–9 May,Survation/Mail on Sunday,1027,40%,31%,12%,6%,5%,3%,2%,9%,8–9 May 2015,2015-05-09
7 May,General Election results (GB only)[6][7],–,37.8%,31.2%,12.9%,8.1%,4.9%,3.8%,1.4%,6.6%,7 May 2015,2015-05-07
