Dates conducted,Pollster,Client,Con,Lab,Lib,Lead,date_year_appended,end_date
12 Sep,Gallup,The Daily Telegraph,45.5%,24.5%,29%,16.5%,12 Sep 1983,1983-09-12
22 Aug,MORI,Daily Star,46%,30%,22%,16%,22 Aug 1983,1983-08-22
15 Aug,Gallup,The Daily Telegraph,44.5%,25%,29%,15.5%,15 Aug 1983,1983-08-15
10 Aug,Marplan,The Guardian,45%,30%,24%,15%,10 Aug 1983,1983-08-10
28 Jul,Penrith and the Border by-election,Penrith and the Border by-election,Penrith and the Border by-election,Penrith and the Border by-election,Penrith and the Border by-election,Penrith and the Border by-election,28 Jul 1983,1983-07-28
25 Jul,MORI,Daily Express,44%,30%,25%,14%,25 Jul 1983,1983-07-25
11 Jul,Gallup,The Daily Telegraph,44%,28.5%,26%,15.5%,11 Jul 1983,1983-07-11
20 Jun,MORI,Daily Star,43%,27%,29%,14%,20 Jun 1983,1983-06-20
13 Jun,David Owen becomes leader of the Social Democratic Party[12],David Owen becomes leader of the Social Democratic Party[12],David Owen becomes leader of the Social Democratic Party[12],David Owen becomes leader of the Social Democratic Party[12],David Owen becomes leader of the Social Democratic Party[12],David Owen becomes leader of the Social Democratic Party[12],13 Jun 1983,1983-06-13
9 Jun,1983 general election,1983 general election,42.4%,27.6%,25.4%,14.8%,9 Jun 1983,1983-06-09
