Pollster,Client,Dates conducted,Sample size,Lab,Con,Lib,Others,Lead,date_year_appended,Polling Organisation / Client,end_date
ICM,News of the World,7–9 Oct,1008,26%,45%,18%,10%,19%,7–9 Oct 2009,,2009-10-09
YouGov,Sky News,7–8 Oct,1074,31%,40%,18%,11%,9%,7–8 Oct 2009,,2009-10-08
YouGov,Sky News,6–7 Oct,1039,29%,43%,17%,11%,14%,6–7 Oct 2009,,2009-10-07
YouGov,Sky News,5–6 Oct,1223,28%,41%,18%,13%,13%,5–6 Oct 2009,,2009-10-06
YouGov,Sky News,4–5 Oct,1102,27%,40%,20%,13%,13%,4–5 Oct 2009,,2009-10-05
YouGov,The People,3 Oct,2027,28%,40%,18%,14%,12%,3 Oct 2009,,2009-10-03
YouGov,Sky News,1–2 Oct,1053,29%,41%,17%,13%,12%,1–2 Oct 2009,,2009-10-02
ComRes,The Independent on Sunday,30 Sep – 1 Oct,1022,28%,40%,19%,13%,12%,30 Sep – 1 Oct 2009,,2009-10-01
YouGov,Sky News,30 Sep – 1 Oct,1085,26%,40%,20%,15%,14%,30 Sep – 1 Oct 2009,,2009-10-01
YouGov,Sky News,29–30 Sep,1078,30%,37%,21%,12%,7%,29–30 Sep 2009,,2009-09-30
YouGov,Sky News,28–29 Sep,1024,29%,40%,18%,13%,11%,28–29 Sep 2009,,2009-09-29
YouGov,Sky News,27–28 Sep,1051,29%,39%,20%,13%,10%,27–28 Sep 2009,,2009-09-28
Ipsos MORI,,25–27 Sep,1003,24%,36%,25%,15%,11%,25–27 Sep 2009,,2009-09-27
ComRes,The Independent,25–27 Sep,1003,23%,38%,23%,16%,15%,25–27 Sep 2009,,2009-09-27
YouGov,Sky News,24–25 Sep,1059,24%,40%,21%,14%,16%,24–25 Sep 2009,,2009-09-25
YouGov,Sky News,23–24 Sep,1057,25%,38%,23%,14%,13%,23–24 Sep 2009,,2009-09-24
ICM,News of the World,23–24 Sep,1003,26%,40%,23%,11%,14%,23–24 Sep 2009,,2009-09-24
YouGov,The Daily Telegraph,22–24 Sep,2026,26%,39%,20%,15%,13%,22–24 Sep 2009,,2009-09-24
YouGov,Sky News,22–23 Sep,1036,28%,38%,19%,15%,10%,22–23 Sep 2009,,2009-09-23
YouGov,Sky News,21–22 Sep,1062,27%,39%,20%,13%,12%,21–22 Sep 2009,,2009-09-22
YouGov,Sky News,20–21 Sep,1081,30%,39%,17%,14%,9%,20–21 Sep 2009,,2009-09-21
ICM,The Guardian,18–20 Sep,1001,26%,43%,19%,12%,17%,18–20 Sep 2009,,2009-09-20
Populus,The Times,11–13 Sep,1506,27%,41%,18%,14%,14%,11–13 Sep 2009,,2009-09-13
YouGov,The Sunday Times,10–11 Sep,2009,27%,41%,17%,15%,14%,10–11 Sep 2009,,2009-09-11
ComRes,The Independent,4–6 Sep,1005,24%,40%,21%,15%,16%,4–6 Sep 2009,,2009-09-06
YouGov,The Daily Telegraph,4–6 Sep,1573,27%,40%,18%,15%,13%,4–6 Sep 2009,,2009-09-06
YouGov,The Sun,27–28 Aug,1996,28%,42%,17%,14%,14%,27–28 Aug 2009,,2009-08-28
YouGov,The Daily Telegraph,25–27 Aug,2199,26%,42%,18%,14%,16%,25–27 Aug 2009,,2009-08-27
Ipsos MORI,,21–23 Aug,1013,26%,43%,17%,13%,17%,21–23 Aug 2009,,2009-08-23
ICM,The Guardian,21–23 Aug,1004,25%,41%,19%,14%,16%,21–23 Aug 2009,,2009-08-23
ComRes,The Independent on Sunday,19–20 Aug,1013,24%,41%,18%,16%,17%,19–20 Aug 2009,,2009-08-20
YouGov,The Sunday Times,13–14 Aug,2007,28%,42%,18%,13%,14%,13–14 Aug 2009,,2009-08-14
ICM/Sunday Mirror,Sunday Mirror,12–13 Aug,1005,26%,43%,19%,12%,17%,12–13 Aug 2009,,2009-08-13
YouGov,The Daily Telegraph,28–30 July,2334,27%,41%,18%,15%,14%,28–30 July 2009,,2009-07-30
ComRes,The Independent,24–26 July,1008,24%,42%,18%,16%,18%,24–26 July 2009,,2009-07-26
,,23 July,Norwich North by-election,Norwich North by-election,Norwich North by-election,Norwich North by-election,Norwich North by-election,Norwich North by-election,23 July 2009,,2009-07-23
YouGov,The People,21–23 July,2218,25%,40%,20%,16%,15%,21–23 July 2009,,2009-07-23
Ipsos MORI,,17–19 July,1012,24%,40%,18%,18%,16%,17–19 July 2009,,2009-07-19
Populus,The Times,17–19 July,1504,26%,38%,20%,16%,12%,17–19 July 2009,,2009-07-19
YouGov,The Sunday Times,16–17 July,1956,25%,42%,18%,15%,17%,16–17 July 2009,,2009-07-17
ComRes,The Independent on Sunday,15–16 July,1010,23%,38%,22%,16%,15%,15–16 July 2009,,2009-07-16
ICM,The Guardian,10–11 July,1000,27%,41%,20%,12%,14%,10–11 July 2009,,2009-07-11
YouGov,Fabian Society,1–3 July,2001,26%,39%,19%,17%,13%,1–3 July 2009,,2009-07-03
ComRes,The Independent,26–28 June,1007,25%,36%,19%,20%,11%,26–28 June 2009,,2009-06-28
YouGov,The People,24–26 June,2017,24%,40%,17%,19%,16%,24–26 June 2009,,2009-06-26
YouGov,The Daily Telegraph,23–25 June,2233,25%,38%,18%,19%,13%,23–25 June 2009,,2009-06-25
Ipsos MORI[permanent dead link‍],,19–21 June,1004,21%,38%,19%,23%,17%,19–21 June 2009,,2009-06-21
ComRes,The Independent on Sunday,17–18 June,1012,22%,39%,18%,21%,17%,17–18 June 2009,,2009-06-18
Harris Interative[permanent dead link‍],The Metro,10–17 June,2081,20%,35%,16%,29%,15%,10–17 June 2009,,2009-06-17
Ipsos MORI,UNISON,12–14 June,1252,25%,39%,19%,17%,14%,12–14 June 2009,,2009-06-14
ICM[permanent dead link‍],The Guardian,12–14 June,1006,27%,39%,18%,15%,12%,12–14 June 2009,,2009-06-14
YouGov,The Sunday Times,11–12 June,1902,24%,40%,18%,19%,16%,11–12 June 2009,,2009-06-12
Populus,The Times,9–10 June,1001,24%,36%,19%,21%,12%,9–10 June 2009,,2009-06-10
,,8 June,2009 European Parliament election,2009 European Parliament election,2009 European Parliament election,2009 European Parliament election,2009 European Parliament election,2009 European Parliament election,8 June 2009,,2009-06-08
ComRes,The Independent,5–7 June,1001,22%,38%,20%,20%,16%,5–7 June 2009,,2009-06-07
,,5 June,2009 United Kingdom local elections,2009 United Kingdom local elections,2009 United Kingdom local elections,2009 United Kingdom local elections,2009 United Kingdom local elections,2009 United Kingdom local elections,5 June 2009,,2009-06-05
YouGov,The Daily Telegraph,2–3 June,4014,21%,37%,19%,23%,16%,2–3 June 2009,,2009-06-03
ComRes,The Independent,29–31 May,1005,22%,30%,18%,30%,8%,29–31 May 2009,,2009-05-31
Ipsos MORI,,29–31 May,1001,18%,40%,18%,24%,22%,29–31 May 2009,,2009-05-31
YouGov,The Daily Telegraph,27–29 May,5016,22%,39%,18%,21%,17%,27–29 May 2009,,2009-05-29
ICM[permanent dead link‍],The Sunday Telegraph,27–28 May,1013,22%,40%,25%,13%,15%,27–28 May 2009,,2009-05-28
Populus,The Times,27–28 May,1001,21%,41%,15%,23%,20%,27–28 May 2009,,2009-05-28
Populus,ITV News,19–20 May,1000,27%,39%,17%,18%,12%,19–20 May 2009,,2009-05-20
ICM,The Guardian,15–17 May,1002,28%,39%,20%,14%,11%,15–17 May 2009,,2009-05-17
YouGov,The Daily Telegraph,14–16 May,2235,23%,39%,19%,19%,16%,14–16 May 2009,,2009-05-16
ComRes,The Independent on Sunday,13–14 May,1010,21%,40%,18%,21%,19%,13–14 May 2009,,2009-05-14
YouGov,The Sun,13–14 May,1814,22%,41%,19%,18%,19%,13–14 May 2009,,2009-05-14
Populus,The Times,8–10 May,1504,26%,39%,22%,13%,13%,8–10 May 2009,,2009-05-10
BPIX[15],Mail on Sunday,8–9 May,Unknown[15],23%,45%,17%,15%,22%,8–9 May 2009,,2009-05-09
YouGov,The Sunday Times,7–8 May,2209,27%,43%,18%,12%,16%,7–8 May 2009,,2009-05-08
ComRes,The Independent,24–26 April,1003,26%,45%,17%,12%,19%,24–26 April 2009,,2009-04-26
YouGov/Sunday People,Sunday People,23–24 April,1855,27%,45%,17%,12%,18%,23–24 April 2009,,2009-04-24
YouGov,The Daily Telegraph,22–23 April,1896,27%,45%,18%,10%,18%,22–23 April 2009,,2009-04-23
Ipsos MORI,,17–19 April,1011,28%,41%,22%,9%,13%,17–19 April 2009,,2009-04-19
ICM[permanent dead link‍],The Guardian,17–19 April,1005,30%,40%,19%,11%,10%,17–19 April 2009,,2009-04-19
Marketing Sciences,The Sunday Telegraph,15–16 April,1007,26%,43%,21%,10%,17%,15–16 April 2009,,2009-04-16
Populus,The Times,3–5 April,1512,30%,43%,18%,9%,13%,3–5 April 2009,,2009-04-05
YouGov,The Sunday Times,3–4 April,2125,34%,41%,16%,10%,7%,3–4 April 2009,,2009-04-04
ComRes,The Independent,27–29 March,1002,28%,40%,18%,14%,12%,27–29 March 2009,,2009-03-29
ICM[permanent dead link‍],The Sunday Telegraph,25–26 March,1003,31%,44%,18%,8%,13%,25–26 March 2009,,2009-03-26
YouGov,The Daily Telegraph,24–26 March,2104,31%,41%,17%,11%,10%,24–26 March 2009,,2009-03-26
ComRes,The Independent on Sunday,18–19 March,1002,30%,41%,17%,12%,11%,18–19 March 2009,,2009-03-19
ICM[permanent dead link‍],The Guardian,13–15 March,1004,30%,42%,20%,8%,12%,13–15 March 2009,,2009-03-15
Ipsos MORI,,13–15 March,1007,32%,42%,14%,11%,10%,13–15 March 2009,,2009-03-15
YouGov,The Sunday Times,12–13 March,1840,31%,41%,17%,11%,10%,12–13 March 2009,,2009-03-13
Populus,The Times,6–8 March,1504,30%,42%,19%,9%,12%,6–8 March 2009,,2009-03-08
ComRes,The Independent,27 Feb – 1 Mar,1006,28%,44%,17%,12%,16%,27 Feb – 1 Mar 2009,,2009-03-01
YouGov,The Daily Telegraph,24–26 Feb,2063,31%,41%,15%,12%,10%,24–26 Feb 2009,,2009-02-26
ICM[permanent dead link‍],The Guardian,20–22 Feb,1004,30%,42%,18%,10%,12%,20–22 Feb 2009,,2009-02-22
Ipsos MORI,,13–15 Feb,1001,28%,48%,17%,7%,20%,13–15 Feb 2009,,2009-02-15
YouGov,The Sunday Times,12–13 Feb,1711,32%,44%,14%,10%,12%,12–13 Feb 2009,,2009-02-13
ComRes,The Independent on Sunday,11–12 Feb,1002,25%,41%,22%,12%,16%,11–12 Feb 2009,,2009-02-12
Populus,The Times,6–8 Feb,1504,28%,42%,18%,12%,14%,6–8 Feb 2009,,2009-02-08
ICM,The Sunday Telegraph,4–5 Feb,1010,28%,40%,22%,10%,12%,4–5 Feb 2009,,2009-02-05
YouGov,The Daily Telegraph,27–29 Jan,2338,32%,43%,16%,10%,11%,27–29 Jan 2009,,2009-01-29
ICM,The Guardian,23–25 Jan,1003,32%,44%,16%,8%,12%,23–25 Jan 2009,,2009-01-25
ComRes,The Independent,21–22 Jan,1012,28%,43%,16%,13%,15%,21–22 Jan 2009,,2009-01-22
Ipsos MORI,,16–18 Jan,1005,30%,44%,17%,9%,14%,16–18 Jan 2009,,2009-01-18
YouGov,The Sunday Times,15–16 Jan,2077,32%,45%,14%,9%,13%,15–16 Jan 2009,,2009-01-16
ComRes,The Independent on Sunday,14–15 Jan,1009,32%,41%,15%,12%,9%,14–15 Jan 2009,,2009-01-15
Populus,The Times,9–11 Jan,1500,33%,43%,15%,9%,10%,9–11 Jan 2009,,2009-01-11
YouGov,The Sun,7–8 Jan,1835,34%,41%,15%,10%,7%,7–8 Jan 2009,,2009-01-08
Pollster,Client,Date(s) Conducted,Sample size,,,,Others,Lead,Date(s) Conducted 2008,,
ComRes,The Independent,19–21 Dec,1000,34%,39%,16%,11%,5%,19–21 Dec 2008,,2008-12-21
YouGov,The Daily Telegraph,16–18 Dec,2241,35%,42%,14%,9%,7%,16–18 Dec 2008,,2008-12-18
Ipsos MORI,,12–14 Dec,1000,35%,39%,15%,11%,4%,12–14 Dec 2008,,2008-12-14
ICM[permanent dead link‍],The Guardian,12–14 Dec,1003,33%,38%,19%,10%,5%,12–14 Dec 2008,,2008-12-14
YouGov,The Sunday Times,11–12 Dec,2098,35%,41%,15%,10%,6%,11–12 Dec 2008,,2008-12-12
ComRes,The Independent on Sunday,10–11 Dec,1003,36%,37%,14%,12%,1%,10–11 Dec 2008,,2008-12-11
Ipsos MORI,,10–11 Dec,1007,36%,41%,11%,12%,5%,10–11 Dec 2008,,2008-12-11
Populus,The Times,5–7 Dec,1505,35%,39%,17%,9%,4%,5–7 Dec 2008,,2008-12-07
ComRes,The Independent,28–30 Nov,1005,36%,37%,17%,10%,1%,28–30 Nov 2008,,2008-11-30
Ipsos MORI,The Observer,27–28 Nov,1017,32%,43%,15%,10%,11%,27–28 Nov 2008,,2008-11-28
ICM,The Guardian,25–26 Nov,1027,30%,45%,18%,7%,15%,25–26 Nov 2008,,2008-11-26
YouGov,The Daily Telegraph,24–25 Nov,1556,36%,40%,14%,10%,4%,24–25 Nov 2008,,2008-11-25
ICM[permanent dead link‍],Sunday Mirror,19–20 Nov,1010,31%,42%,19%,8%,11%,19–20 Nov 2008,,2008-11-20
Ipsos MORI,,14–16 Nov,1002,37%,40%,12%,11%,3%,14–16 Nov 2008,,2008-11-16
YouGov,The Sunday Times,13–14 Nov,2080,36%,41%,14%,10%,5%,13–14 Nov 2008,,2008-11-14
ComRes,The Independent on Sunday,12–13 Nov,1010,32%,43%,12%,13%,11%,12–13 Nov 2008,,2008-11-13
Populus,The Times,7–9 Nov,1503,35%,41%,16%,8%,6%,7–9 Nov 2008,,2008-11-09
ICM[permanent dead link‍],The Sunday Telegraph,5–6 Nov,1005,30%,43%,18%,9%,13%,5–6 Nov 2008,,2008-11-06
,,6 Nov,Glenrothes by-election,Glenrothes by-election,Glenrothes by-election,Glenrothes by-election,Glenrothes by-election,Glenrothes by-election,6 Nov 2008,,2008-11-06
BPIX[15],,2 Nov,?,31%,45%,13%,11%,14%,2 Nov 2008,,2008-11-02
YouGov,The Daily Telegraph,27–29 Oct,2271,33%,42%,15%,10%,9%,27–29 Oct 2008,,2008-10-29
ComRes,The Independent,24–26 Oct,1001,31%,39%,16%,14%,8%,24–26 Oct 2008,,2008-10-26
Ipsos MORI,,17–19 Oct,1004,30%,45%,14%,11%,15%,17–19 Oct 2008,,2008-10-19
ICM[permanent dead link‍],The Guardian,17–19 Oct,1007,30%,42%,21%,7%,12%,17–19 Oct 2008,,2008-10-19
BPIX[15],,16–18 Oct,2046,30%,46%,13%,11%,16%,16–18 Oct 2008,,2008-10-18
YouGov,The Daily Mirror,15–17 Oct,2029,34%,42%,14%,10%,8%,15–17 Oct 2008,,2008-10-17
ComRes,The Independent on Sunday,15–16 Oct,1005,31%,40%,16%,14%,9%,15–16 Oct 2008,,2008-10-16
YouGov,The Sunday Times,9–10 Oct,1941,33%,43%,14%,10%,10%,9–10 Oct 2008,,2008-10-10
Populus,The Times,3–5 Oct,1503,30%,45%,15%,10%,15%,3–5 Oct 2008,,2008-10-05
YouGov,The Daily Telegraph,1–3 Oct,2048,31%,45%,15%,9%,14%,1–3 Oct 2008,,2008-10-03
ComRes,The Independent,26–28 Sep,1017,29%,41%,18%,12%,12%,26–28 Sep 2008,,2008-09-28
BPIX[15],,24–26 Sep,2020,31%,43%,17%,9%,12%,24–26 Sep 2008,,2008-09-26
ICM,The Guardian,24–25 Sep,1012,32%,41%,18%,9%,9%,24–25 Sep 2008,,2008-09-25
YouGov,The Sun,23–24 Sep,1536,31%,41%,16%,12%,10%,23–24 Sep 2008,,2008-09-24
ComRes,The Independent on Sunday,17–18 Sep,1010,27%,39%,21%,12%,12%,17–18 Sep 2008,,2008-09-18
YouGov,The Daily Telegraph,17–19 Sep,2227,24%,44%,20%,12%,20%,17–19 Sep 2008,,2008-09-19
Ipsos MORI,,12–14 Sep,1017,24%,52%,12%,12%,28%,12–14 Sep 2008,,2008-09-14
YouGov,The Sunday Times,10–12 Sep,2161,27%,46%,16%,11%,19%,10–12 Sep 2008,,2008-09-12
ComRes,The Independent,3–4 Sep,1013,25%,44%,17%,14%,19%,3–4 Sep 2008,,2008-09-04
Populus,The Times,29–31 Aug,1506,27%,43%,18%,12%,16%,29–31 Aug 2008,,2008-08-31
YouGov,The Daily Telegraph,26–27 Aug,2267,26%,45%,16%,13%,19%,26–27 Aug 2008,,2008-08-27
ComRes,The Independent,20–21 Aug,1014,25%,46%,16%,13%,21%,20–21 Aug 2008,,2008-08-21
ICM,The Guardian,15–17 Aug,1002,29%,44%,19%,8%,15%,15–17 Aug 2008,,2008-08-17
Ipsos MORI,,15–17 Aug,1005,24%,48%,16%,12%,24%,15–17 Aug 2008,,2008-08-17
YouGov,The Sunday Times,14–15 Aug,1745,25%,45%,18%,12%,20%,14–15 Aug 2008,,2008-08-15
YouGov,News of the World,6–8 Aug,2031,26%,46%,17%,11%,20%,6–8 Aug 2008,,2008-08-08
BPIX[15],,31 Jul – 2 Aug,1333,24%,47%,16%,13%,23%,31 Jul – 2 Aug 2008,,2008-08-02
ICM,Sunday Express,30 Jul – 1 Aug,1001,29%,45%,16%,10%,16%,30 Jul – 1 Aug 2008,,2008-08-01
YouGov,The Daily Telegraph,29–31 July,1949,25%,47%,16%,12%,22%,29–31 July 2008,,2008-07-31
Populus,The Times,25–27 July,1002,27%,43%,18%,12%,16%,25–27 July 2008,,2008-07-27
YouGov,The Daily Telegraph,23–25 July,2120,26%,45%,17%,12%,19%,23–25 July 2008,,2008-07-25
ComRes,The Independent,23–24 July,1021,24%,46%,18%,12%,22%,23–24 July 2008,,2008-07-24
,,24 July,Glasgow East by-election,Glasgow East by-election,Glasgow East by-election,Glasgow East by-election,Glasgow East by-election,Glasgow East by-election,24 July 2008,,2008-07-24
Ipsos MORI,,18–20 July,1016,27%,47%,15%,11%,20%,18–20 July 2008,,2008-07-20
ICM[permanent dead link‍],The Guardian,18–20 July,1007,28%,43%,19%,10%,15%,18–20 July 2008,,2008-07-20
ComRes,The Independent on Sunday,16–17 July,1016,24%,45%,16%,15%,21%,16–17 July 2008,,2008-07-17
YouGov,The Sunday Times,10–11 July,1832,25%,47%,16%,12%,22%,10–11 July 2008,,2008-07-11
Populus,The Times,4–6 July,1507,28%,41%,19%,12%,13%,4–6 July 2008,,2008-07-06
ComRes,The Independent,25–26 June,1007,25%,46%,18%,11%,21%,25–26 June 2008,,2008-06-26
YouGov,The Daily Telegraph,23–25 June,2163,28%,46%,15%,11%,18%,23–25 June 2008,,2008-06-25
,,26 June,Henley by-election,Henley by-election,Henley by-election,Henley by-election,Henley by-election,Henley by-election,26 June 2008,,2008-06-26
ICM,The Guardian,20–22 June,1000,25%,45%,20%,10%,20%,20–22 June 2008,,2008-06-22
BPIX[15],,18–20 June,2385,26%,49%,14%,11%,23%,18–20 June 2008,,2008-06-20
Ipsos MORI,,13–15 June,1012,28%,45%,16%,11%,17%,13–15 June 2008,,2008-06-15
ComRes,The Independent on Sunday,11–12 June,1012,26%,44%,17%,13%,18%,11–12 June 2008,,2008-06-12
YouGov,The Sunday Times,12–13 June,1769,25%,47%,18%,10%,22%,12–13 June 2008,,2008-06-13
Populus,The Times,6–8 June,1508,25%,45%,20%,10%,20%,6–8 June 2008,,2008-06-08
ICM,The Sunday Telegraph,4–5 June,1023,26%,42%,21%,11%,16%,4–5 June 2008,,2008-06-05
ComRes,The Independent,30 May – 1 June,1006,30%,44%,16%,10%,14%,30 May – 1 June 2008,,2008-06-01
YouGov,The Daily Telegraph,27–29 May,2241,23%,47%,18%,12%,24%,27–29 May 2008,,2008-05-29
,,22 May,Crewe and Nantwich by-election,Crewe and Nantwich by-election,Crewe and Nantwich by-election,Crewe and Nantwich by-election,Crewe and Nantwich by-election,Crewe and Nantwich by-election,22 May 2008,,2008-05-22
ICM,The Guardian,16–18 May,1008,27%,41%,22%,10%,14%,16–18 May 2008,,2008-05-18
YouGov,The Sunday Times,15–16 May,1854,25%,45%,18%,12%,20%,15–16 May 2008,,2008-05-16
ComRes,The Independent on Sunday,14–15 May,1004,26%,43%,19%,12%,17%,14–15 May 2008,,2008-05-15
YouGov,The Sun,7–8 May,1571,23%,49%,17%,11%,26%,7–8 May 2008,,2008-05-08
Populus,The Times,2–4 May,1509,29%,40%,19%,11%,11%,2–4 May 2008,,2008-05-04
,,1 May,2008 United Kingdom local elections,2008 United Kingdom local elections,2008 United Kingdom local elections,2008 United Kingdom local elections,2008 United Kingdom local elections,2008 United Kingdom local elections,1 May 2008,,2008-05-01
ComRes[permanent dead link‍],The Independent,25–27 Apr,1005,26%,40%,20%,14%,14%,25–27 Apr 2008,,2008-04-27
ICM,The Sunday Telegraph,23–24 Apr,1010,29%,39%,20%,12%,10%,23–24 Apr 2008,,2008-04-24
YouGov,The Daily Telegraph,21–23 Apr,2073,26%,44%,17%,13%,18%,21–23 Apr 2008,,2008-04-23
Ipsos-MORI,The Observer,17–22 Apr,1059,31%,40%,19%,10%,9%,17–22 Apr 2008,,2008-04-22
ICM/The Gurdian,,18–20 Apr,1000,34%,39%,19%,8%,5%,18–20 Apr 2008,,2008-04-20
Populus,Sunday Mirror,16–17 Apr,1006,30%,40%,19%,11%,10%,16–17 Apr 2008,,2008-04-17
YouGov,The Sunday Times,10–11 Apr,1755,28%,44%,17%,11%,16%,10–11 Apr 2008,,2008-04-11
Populus,The Times,8–10 Apr,1502,33%,39%,17%,6%,6%,8–10 Apr 2008,,2008-04-10
ICM,The Sunday Telegraph,2–3 Apr,1010,32%,43%,18%,7%,11%,2–3 Apr 2008,,2008-04-03
ComRes,The Independent,28–30 Mar,1004,31%,38%,17%,14%,7%,28–30 Mar 2008,,2008-03-30
YouGov,The Daily Telegraph,25–27 Mar,1926,29%,43%,17%,11%,14%,25–27 Mar 2008,,2008-03-27
Ipsos MORI,,13–18 Mar,1983,35%,40%,18%,7%,5%,13–18 Mar 2008,,2008-03-18
ICM,The Guardian,14–16 Mar,1003,29%,42%,21%,8%,13%,14–16 Mar 2008,,2008-03-16
YouGov,The Sunday Times,13–14 Mar,2311,27%,43%,16%,13%,16%,13–14 Mar 2008,,2008-03-14
ICM[permanent dead link‍],News of the World,12–13 Mar,1002,31%,40%,20%,9%,9%,12–13 Mar 2008,,2008-03-13
Populus,The Times,7–9 Mar,1502,34%,37%,19%,10%,3%,7–9 Mar 2008,,2008-03-09
YouGov,The Daily Telegraph,25–27 Feb,2011,33%,40%,16%,11%,7%,25–27 Feb 2008,,2008-02-27
Ipsos MORI,,21–26 Feb,2063,37%,39%,16%,8%,2%,21–26 Feb 2008,,2008-02-26
ComRes,The Independent,22–24 Feb,1010,30%,41%,17%,12%,11%,22–24 Feb 2008,,2008-02-24
YouGov/The Economist,The Economist,18–20 Feb,2118,34%,40%,16%,11%,6%,18–20 Feb 2008,,2008-02-20
ICM[permanent dead link‍],The Guardian,15–17 Feb,1003,34%,37%,21%,8%,3%,15–17 Feb 2008,,2008-02-17
YouGov,The Sunday Times,14–15 Feb,2469,32%,41%,16%,11%,9%,14–15 Feb 2008,,2008-02-15
Populus,The Times,1–3 Feb,1504,31%,40%,17%,12%,9%,1–3 Feb 2008,,2008-02-03
ICM[permanent dead link‍],The Sunday Telegraph,30–31 Jan,1012,32%,37%,21%,10%,5%,30–31 Jan 2008,,2008-01-31
ComRes,The Independent,25–27 Jan,1003,30%,38%,17%,15%,8%,25–27 Jan 2008,,2008-01-27
YouGov,The Daily Telegraph,21–23 Jan,1992,33%,41%,16%,10%,8%,21–23 Jan 2008,,2008-01-23
Ipsos MORI,,17–22 Jan,2045,38%,37%,16%,9%,1%,17–22 Jan 2008,,2008-01-22
ICM,The Guardian,18–20 Jan,1009,35%,37%,20%,8%,2%,18–20 Jan 2008,,2008-01-20
YouGov,The Sunday Times,10–11 Jan,2139,33%,43%,14%,11%,10%,10–11 Jan 2008,,2008-01-11
ICM[permanent dead link‍],The Sunday Telegraph,9–10 Jan,1011,33%,40%,18%,9%,7%,9–10 Jan 2008,,2008-01-10
Ipsos MORI,The Sun,9–10 Jan,1006,32%,42%,15%,11%,10%,9–10 Jan 2008,,2008-01-10
Populus,The Times,4–6 Jan,1509,33%,37%,19%,11%,4%,4–6 Jan 2008,,2008-01-06
Pollster,Client,Date(s) Conducted,Sample size,,,,Others,Lead,Date(s) Conducted 2007,,
ICM[permanent dead link‍],The Guardian,18–19 Dec,1034,34%,39%,18%,9%,5%,18–19 Dec 2007,,2007-12-19
YouGov,The Daily Telegraph,17–19 Dec,2060,31%,43%,16%,11%,12%,17–19 Dec 2007,,2007-12-19
,,18 Dec,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,Nick Clegg becomes leader of the Liberal Democrats,18 Dec 2007,,2007-12-18
ComRes[permanent dead link‍],The Independent,14–16 Dec,1004,30%,41%,16%,12%,11%,14–16 Dec 2007,,2007-12-16
YouGov,The Sunday Times,13–14 Dec,1481,32%,45%,14%,10%,13%,13–14 Dec 2007,,2007-12-14
Populus,The Times,7–9 Dec,1506,32%,40%,16%,11%,8%,7–9 Dec 2007,,2007-12-09
Ipsos MORI,,29 Nov – 7 Dec,1859,35%,42%,14%,9%,7%,29 Nov – 7 Dec 2007,,2007-12-07
ICM[permanent dead link‍],News of the World,28–29 Nov,1011,30%,41%,19%,10%,11%,28–29 Nov 2007,,2007-11-29
YouGov,The Daily Telegraph,26–29 Nov,4004,32%,43%,14%,11%,11%,26–29 Nov 2007,,2007-11-29
Ipsos MORI,,23–27 Nov,1933,32%,41%,17%,10%,9%,23–27 Nov 2007,,2007-11-27
ComRes[permanent dead link‍],The Independent,23–25 Nov,1009,27%,41%,18%,15%,13%,23–25 Nov 2007,,2007-11-25
ICM[permanent dead link‍],The Guardian,21–22 Nov,1005,31%,37%,21%,10%,6%,21–22 Nov 2007,,2007-11-22
YouGov,Channel 4 News,21–22 Nov,1600,32%,41%,14%,13%,9%,21–22 Nov 2007,,2007-11-22
YouGov,The Sunday Times,14–16 Nov,1983,35%,41%,13%,11%,6%,14–16 Nov 2007,,2007-11-16
ICM[permanent dead link‍],Sunday Express,8–10 Nov,1001,35%,43%,15%,7%,8%,8–10 Nov 2007,,2007-11-10
Populus,The Times,2–4 Nov,1503,37%,36%,16%,11%,1%,2–4 Nov 2007,,2007-11-04
Ipsos MORI,The Sun,31 Oct – 1 Nov,1013,35%,40%,13%,12%,5%,31 Oct – 1 Nov 2007,,2007-11-01
ICM[permanent dead link‍],The Guardian,26–28 Oct,1011,35%,40%,18%,7%,5%,26–28 Oct 2007,,2007-10-28
ComRes[permanent dead link‍],The Independent,26–28 Oct,1002,33%,42%,15%,10%,8%,26–28 Oct 2007,,2007-10-28
YouGov,The Daily Telegraph,22–24 Oct,2105,38%,41%,11%,10%,3%,22–24 Oct 2007,,2007-10-24
Ipsos MORI,The Observer,18–23 Oct,1987,41%,40%,13%,6%,1%,18–23 Oct 2007,,2007-10-23
ICM[permanent dead link‍],The Sunday Telegraph,10–11 Oct,1010,36%,43%,14%,8%,7%,10–11 Oct 2007,,2007-10-11
Ipsos MORI,The Sun,10 Oct,1007,38%,41%,11%,10%,3%,10 Oct 2007,,2007-10-10
YouGov,The Sunday Times,5–6 Oct,1757,38%,41%,11%,10%,3%,5–6 Oct 2007,,2007-10-06
Populus,The Times,5–7 Oct,1008,40%,38%,12%,10%,2%,5–7 Oct 2007,,2007-10-07
YouGov,Channel 4 News,3–4 Oct,1741,40%,36%,13%,11%,4%,3–4 Oct 2007,,2007-10-04
ICM,The Guardian,3–4 Oct,1008,38%,38%,16%,8%,Tie,3–4 Oct 2007,,2007-10-04
