Dates conducted,Pollster/client(s),Area,Sample size,Con,Lab,Lib,SNP,Plaid Cymru,Grn,Ref,UKIP,Change UK,Others,Lead,date_year_appended,Other,end_date
22 Jul,,Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],Jo Swinson is elected leader of the Liberal Democrats[11],22 Jul 2019,,2019-07-22
16–17 Jul,YouGov/The Times,GB,1749,25%,21%,20%,4%,1%,8%,19%,0%,0%,1%,4,16–17 Jul 2019,,2019-07-17
15–16 Jul,ComRes/Britain Elects,GB,2038,25%,28%,17%,4%,0%,5%,19%,1%,1%,1%,3,15–16 Jul 2019,,2019-07-16
10–11 Jul,ComRes/Sunday Express,GB,1791,24%,28%,15%,3%,1%,5%,20%,1%,1%,2%,4,10–11 Jul 2019,,2019-07-11
10–11 Jul,Survation,GB,1012,23%,29%,19%,4%,1%,3%,20%,–,–,1%,6,10–11 Jul 2019,,2019-07-11
9–10 Jul,YouGov/The Times,GB,1671,24%,20%,19%,5%,1%,9%,21%,0%,0%,1%,3,9–10 Jul 2019,,2019-07-10
5–7 Jul,ComRes/The Daily Telegraph,GB,2010,25%,28%,16%,3%,0%,5%,19%,1%,0%,1%,3,5–7 Jul 2019,,2019-07-07
3–5 Jul,Opinium/The Observer,GB,2002,23%,25%,15%,5%,1%,8%,22%,1%,1%,0%,2,3–5 Jul 2019,,2019-07-05
2–5 Jul,BMG/The Independent,GB,1532,28%,27%,18%,2%,1%,6%,14%,2%,1%,0%,1,2–5 Jul 2019,,2019-07-05
2–3 Jul,YouGov/The Times,GB,1605,24%,18%,20%,4%,1%,9%,23%,0%,0%,1%,1,2–3 Jul 2019,,2019-07-03
24–25 Jun,YouGov/The Times,GB,2059,22%,20%,19%,4%,1%,10%,22%,1%,0%,1%,Tie,24–25 Jun 2019,,2019-06-25
21–25 Jun,Ipsos MORI,GB,1043,26%,24%,22%,4%,1%,8%,12%,1%,0%,0%,2,21–25 Jun 2019,,2019-06-25
19–20 Jun,Opinium/The Observer Archived 19 July 2019 at the Wayback Machine,GB,2009,20%,26%,16%,4%,1%,6%,23%,2%,1%,1%,3,19–20 Jun 2019,,2019-06-20
19–20 Jun,Survation/The Mail on Sunday,GB,2016,24%,26%,18%,3%,1%,6%,20%,1%,1%,1%,2,19–20 Jun 2019,,2019-06-20
18–19 Jun,YouGov/The Times,GB,1641,20%,20%,21%,4%,1%,9%,23%,1%,0%,0%,2,18–19 Jun 2019,,2019-06-19
13–14 Jun,YouGov/The Sunday Times,GB,1672,21%,21%,19%,3%,1%,9%,24%,0%,0%,1%,3,13–14 Jun 2019,,2019-06-14
9–10 Jun,YouGov/The Times,GB,1702,17%,19%,22%,4%,1%,8%,26%,0%,1%,1%,4,9–10 Jun 2019,,2019-06-10
7–9 Jun,ComRes/The Daily Telegraph,GB,2017,23%,27%,17%,3%,1%,5%,22%,1%,1%,1%,4,7–9 Jun 2019,,2019-06-09
4–7 Jun,BMG/The Independent,GB,1520,26%,27%,17%,3%,1%,6%,18%,1%,1%,1%,1,4–7 Jun 2019,,2019-06-07
6 Jun,Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],6 Jun 2019,,2019-06-06
5–6 Jun,YouGov/The Times,GB,1670,18%,20%,20%,5%,0%,9%,26%,1%,0%,0%,6,5–6 Jun 2019,,2019-06-06
4–5 Jun,YouGov,GB,1663,18%,19%,22%,4%,0%,9%,25%,0%,–,3%,3,4–5 Jun 2019,,2019-06-05
4 Jun,Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],4 Jun 2019,,2019-06-04
31 May – 1 Jun,YouGov,GB,1644,18%,19%,23%,5%,0%,10%,23%,–,–,2%,Tie,31 May – 1 Jun 2019,,2019-06-01
29–30 May,Deltapoll/The Mail on Sunday,GB,2449,20%,26%,16%,4%,1%,5%,24%,1%,4%,1%,2,29–30 May 2019,,2019-05-30
28–30 May,Opinium/The Observer Archived 18 July 2019 at the Wayback Machine,GB,2005,17%,22%,16%,4%,1%,11%,26%,1%,1%,1%,4,28–30 May 2019,,2019-05-30
28–29 May,YouGov/The Times,GB,1763,19%,19%,24%,6%,6%,8%,22%,1%,1%,0%,2,28–29 May 2019,,2019-05-29
24 May,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,Theresa May announces her intention to resign as Prime Minister and leader of the Conservative Party,24 May 2019,,2019-05-24
23 May,European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],23 May 2019,,2019-05-23
22 May,Survation/Daily Mail,UK,2029,28%,33%,13%,3%,0%,3%,12%,3%,2%,3%,5,22 May 2019,,2019-05-22
18–21 May,Number Cruncher Politics,GB,1005,27%,31%,15%,5%,1%,4%,14%,1%,2%,0%,4,18–21 May 2019,,2019-05-21
14–21 May,Panelbase/The Sunday Times,GB,2033,21%,31%,13%,4%,0%,5%,19%,3%,4%,0%,10,14–21 May 2019,,2019-05-21
17–20 May,Opinium Archived 16 September 2019 at the Wayback Machine,GB,2005,22%,26%,12%,4%,1%,4%,25%,2%,2%,0%,1,17–20 May 2019,,2019-05-20
17 May,Survation/Daily Mail,UK,1000,27%,32%,13%,5%,0%,3%,13%,2%,2%,4%,5,17 May 2019,,2019-05-17
8–17 May,YouGov/Best for Britain/Hope Not Hate,GB,9260,24%,24%,18%,4%,1%,6%,18%,2%,2%,1%,Tie,8–17 May 2019,,2019-05-17
14–16 May,Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,GB,2009,22%,29%,11%,4%,0%,3%,24%,2%,3%,1%,5,14–16 May 2019,,2019-05-16
13–14 May,YouGov/The Times,GB,1655,25%,25%,16%,5%,5%,7%,18%,2%,2%,1%,Tie,13–14 May 2019,,2019-05-14
10–14 May,Ipsos MORI,GB,1072,25%,27%,15%,4%,1%,7%,16%,3%,2%,1%,2,10–14 May 2019,,2019-05-14
9–13 May,Hanbury Strategy/Politico Archived 26 June 2019 at the Wayback Machine,GB,2000,21%,30%,13%,4%,–,5%,19%,2%,6%,1%,9,9–13 May 2019,,2019-05-13
9–13 May,Kantar Archived 25 May 2019 at the Wayback Machine,GB,1152,25%,34%,15%,5%,2%,3%,10%,4%,1%,2%,9,9–13 May 2019,,2019-05-13
10–12 May,ComRes/The Daily Telegraph,GB,2028,20%,27%,13%,3%,0%,4%,20%,4%,6%,1%,7,10–12 May 2019,,2019-05-12
8–10 May,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2004,22%,28%,11%,4%,0%,6%,21%,4%,4%,0%,6,8–10 May 2019,,2019-05-10
7–10 May,BMG/The Independent,GB,1541,27%,30%,18%,2%,0%,6%,10%,3%,3%,1%,3,7–10 May 2019,,2019-05-10
9 May,ComRes/Brexit Express,GB,2034,19%,27%,14%,3%,1%,5%,20%,3%,7%,1%,8,9 May 2019,,2019-05-09
8–9 May,YouGov/The Times,GB,2212,24%,24%,16%,5%,5%,7%,18%,2%,2%,1%,Tie,8–9 May 2019,,2019-05-09
3–7 May,Opinium/People's Vote,GB,2000,25%,30%,11%,3%,1%,5%,17%,4%,2%,1%,5,3–7 May 2019,,2019-05-07
2 May,Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],Local elections in England and Northern Ireland[14][15],2 May 2019,,2019-05-02
29–30 Apr,YouGov,GB,1630,29%,29%,13%,4%,4%,5%,15%,2%,3%,1%,Tie,29–30 Apr 2019,,2019-04-30
23–24 Apr,YouGov/The Times,GB,1787,27%,30%,11%,5%,5%,5%,14%,4%,3%,1%,3,23–24 Apr 2019,,2019-04-24
18–24 Apr,Panelbase/The Sunday Times,GB,2030,27%,36%,8%,4%,–,3%,13%,5%,4%,1%,9,18–24 Apr 2019,,2019-04-24
21–23 Apr,Opinium/The Observer Archived 17 May 2019 at the Wayback Machine,GB,2004,26%,33%,6%,5%,1%,4%,17%,4%,4%,1%,7,21–23 Apr 2019,,2019-04-23
16–17 Apr,ORB/The Daily Telegraph,UK,1546,26%,29%,8%,4%,1%,4%,14%,5%,5%,4%[c],3,16–17 Apr 2019,,2019-04-17
16–17 Apr,YouGov/The Times,GB,1755,29%,30%,10%,5%,5%,5%,12%,4%,3%,2%,1,16–17 Apr 2019,,2019-04-17
16 Apr,ComRes/Brexit Express Archived 15 December 2019 at the Wayback Machine,GB,1061,23%,33%,7%,3%,1%,3%,14%,5%,9%,1%,10,16 Apr 2019,,2019-04-16
9–12 Apr,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2007,29%,36%,8%,5%,1%,4%,–,11%,–,6%,7,9–12 Apr 2019,,2019-04-12
10–11 Apr,YouGov/The Times,GB,1843,28%,32%,11%,5%,5%,5%,8%,6%,3%,2%,4,10–11 Apr 2019,,2019-04-11
5–8 Apr,Hanbury Strategy/Open Europe Archived 8 March 2021 at the Wayback Machine,GB,2000,31%,40%,8%,4%,1%,5%,–,8%,–,4%,9,5–8 Apr 2019,,2019-04-08
4–8 Apr,Kantar Archived 26 June 2019 at the Wayback Machine,GB,1172,32%,35%,11%,5%,1%,4%,–,7%,–,6%,3,4–8 Apr 2019,,2019-04-08
3–8 Apr,Survation,E+W,6062,37%,41%,10%,–,1%,2%,–,7%,1%,2%,4,3–8 Apr 2019,,2019-04-08
5–7 Apr,ComRes/The Daily Telegraph Archived 15 December 2019 at the Wayback Machine,GB,2018,32%,32%,7%,3%,0%,3%,–,9%,9%,3%,Tie,5–7 Apr 2019,,2019-04-07
2–5 Apr,BMG/The Independent,GB,1500,29%,31%,8%,3%,1%,4%,6%,7%,8%,1%,2,2–5 Apr 2019,,2019-04-05
2–5 Apr,BMG/The Independent,GB,1500,35%,34%,11%,4%,1%,5%,–,6%,–,3%,1,2–5 Apr 2019,,2019-04-05
4 Apr,Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],Newport West by-election[10],4 Apr 2019,,2019-04-04
2–3 Apr,YouGov/The Times,GB,1771,32%,31%,12%,6%,6%,4%,5%,7%,–,3%,1,2–3 Apr 2019,,2019-04-03
28–30 Mar,Deltapoll/The Mail on Sunday,GB,1010,32%,35%,7%,2%,1%,2%,6%,6%,9%,1%,3,28–30 Mar 2019,,2019-03-30
28–30 Mar,Deltapoll/The Mail on Sunday,GB,1010,36%,41%,7%,3%,1%,3%,–,7%,–,3%,5,28–30 Mar 2019,,2019-03-30
28–29 Mar,Opinium/The Observer Archived 16 May 2019 at the Wayback Machine,GB,2008,35%,35%,9%,4%,0%,5%,–,9%,–,3%,Tie,28–29 Mar 2019,,2019-03-29
24–25 Mar,YouGov/The Times,GB,2110,36%,33%,11%,5%,5%,4%,5%,4%,–,2%,3,24–25 Mar 2019,,2019-03-25
22–24 Mar,ComRes/Leave Means Leave Archived 31 March 2019 at the Wayback Machine,GB,2030,33%,33%,8%,3%,1%,3%,–,7%,9%,3%,Tie,22–24 Mar 2019,,2019-03-24
20–22 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2002,36%,35%,7%,5%,1%,4%,–,9%,–,3%,1,20–22 Mar 2019,,2019-03-22
20–21 Mar,ComRes/Daily Express Archived 15 December 2019 at the Wayback Machine,GB,2063,34%,35%,8%,3%,1%,4%,–,7%,6%,3%,1%,20–21 Mar 2019,,2019-03-21
15–19 Mar,Ipsos MORI,GB,1050,38%,34%,8%,5%,1%,4%,1%,7%,2%,0%,4,15–19 Mar 2019,,2019-03-19
15–17 Mar,ComRes/The Daily Telegraph Archived 15 December 2019 at the Wayback Machine,GB,2033,34%,35%,8%,3%,1%,3%,–,6%,7%,3%,1,15–17 Mar 2019,,2019-03-17
15 Mar,Survation/Daily Mail,UK,1007,35%,39%,10%,3%,0%,–,–,–,–,12%,4,15 Mar 2019,,2019-03-15
14–15 Mar,YouGov/People's Vote,GB,1823,35%,33%,11%,–,–,–,–,–,–,21%,2,14–15 Mar 2019,,2019-03-15
14–15 Mar,YouGov/The Times,GB,1756,35%,31%,12%,4%,4%,4%,4%,6%,–,2%,4,14–15 Mar 2019,,2019-03-15
13–15 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2003,35%,35%,7%,5%,0%,4%,–,8%,4%,2%,Tie,13–15 Mar 2019,,2019-03-15
12–15 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2008,38%,34%,8%,5%,1%,3%,–,8%,–,3%,4,12–15 Mar 2019,,2019-03-15
7–11 Mar,Kantar Archived 7 September 2019 at the Wayback Machine,GB,1152,41%,31%,8%,5%,0%,6%,–,6%,–,2%,10,7–11 Mar 2019,,2019-03-11
4–8 Mar,BMG/The Independent,GB,1510,37%,31%,10%,3%,1%,5%,–,6%,5%,1%,6,4–8 Mar 2019,,2019-03-08
4–8 Mar,BMG/The Independent,GB,1510,39%,34%,12%,3%,1%,4%,–,5%,–,2%,5,4–8 Mar 2019,,2019-03-08
4–5 Mar,ComRes/Brexit Express Archived 5 January 2020 at the Wayback Machine,GB,2042,36%,34%,8%,3%,0%,3%,–,6%,8%,2%,2,4–5 Mar 2019,,2019-03-05
3–4 Mar,YouGov/The Times,GB,2172,40%,31%,11%,5%,5%,4%,3%,3%,–,3%,9,3–4 Mar 2019,,2019-03-04
26 Feb – 1 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2004,37%,33%,7%,4%,1%,4%,–,7%,5%,2%,4,26 Feb – 1 Mar 2019,,2019-03-01
26 Feb – 1 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2003,40%,34%,9%,4%,1%,3%,–,7%,–,3%,6,26 Feb – 1 Mar 2019,,2019-03-01
22–23 Feb,YouGov/The Times,GB,1672,41%,30%,10%,5%,5%,4%,2%,5%,–,3%,11,22–23 Feb 2019,,2019-02-23
22–23 Feb,YouGov/The Times,GB,1672,36%,23%,6%,–,–,–,–,–,18%,16%,13,22–23 Feb 2019,,2019-02-23
21–23 Feb,Deltapoll/The Mail on Sunday,GB,1027,39%,31%,5%,5%,0%,3%,–,4%,11%,1%,8,21–23 Feb 2019,,2019-02-23
21–23 Feb,Deltapoll/The Mail on Sunday,GB,1027,43%,36%,6%,4%,0%,3%,–,5%,–,2%,7,21–23 Feb 2019,,2019-02-23
20–22 Feb,Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,GB,2008,40%,32%,5%,4%,1%,4%,–,7%,6%,2%,8,20–22 Feb 2019,,2019-02-22
19 Feb,Sky Data,UK,1034,32%,26%,9%,4%,1%,4%,–,6%,10%,7%,6,19 Feb 2019,,2019-02-19
18–19 Feb,YouGov/The Times,GB,1861,38%,26%,7%,–,–,–,–,–,14%,15%,12,18–19 Feb 2019,,2019-02-19
18–19 Feb,YouGov/The Times,GB,1861,41%,33%,10%,5%,5%,4%,–,4%,–,3%,8,18–19 Feb 2019,,2019-02-19
18 Feb,Survation/Daily Mail,UK,1023,40%,36%,10%,3%,–,2%,–,5%,–,5%,4,18 Feb 2019,,2019-02-18
18 Feb,"Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[16]",18 Feb 2019,,2019-02-18
13–15 Feb,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2005,37%,37%,8%,4%,0%,4%,–,7%,–,2%,Tie,13–15 Feb 2019,,2019-02-15
7–11 Feb,Kantar[permanent dead link‍],GB,1145,40%,35%,10%,4%,1%,4%,–,3%,–,3%,5,7–11 Feb 2019,,2019-02-11
4–8 Feb,BMG,GB,1503,38%,35%,13%,3%,1%,5%,–,5%,–,1%,3,4–8 Feb 2019,,2019-02-08
2–7 Feb,YouGov/The Times,GB,40119,39%,34%,11%,3%,1%,4%,–,5%,–,2%,5,2–7 Feb 2019,,2019-02-07
5 Feb,The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],The Brexit Party is registered with the Electoral Commission[17],5 Feb 2019,,2019-02-05
1–5 Feb,Ipsos MORI,GB,1005,38%,38%,10%,4%,1%,3%,–,4%,–,3%,Tie,1–5 Feb 2019,,2019-02-05
3–4 Feb,YouGov/The Times,GB,1851,41%,34%,10%,4%,0%,4%,–,4%,–,2%,7,3–4 Feb 2019,,2019-02-04
30 Jan – 1 Feb,Opinium/The Observer Archived 12 December 2019 at the Wayback Machine,GB,2008,41%,34%,8%,4%,1%,4%,–,7%,–,1%,7,30 Jan – 1 Feb 2019,,2019-02-01
30 Jan,Survation/Daily Mail,UK,1029,38%,39%,9%,3%,0%,2%,–,4%,–,4%,1,30 Jan 2019,,2019-01-30
23–25 Jan,Opinium/People's Vote,GB,2001,40%,36%,7%,3%,0%,4%,–,7%,–,1%,4,23–25 Jan 2019,,2019-01-25
16–18 Jan,ICM,GB,2046,39%,40%,9%,3%,0%,3%,–,5%,–,1%,1,16–18 Jan 2019,,2019-01-18
16–18 Jan,Opinium/The Observer Archived 10 December 2019 at the Wayback Machine,GB,2006,37%,40%,7%,5%,1%,4%,–,7%,–,1%,3,16–18 Jan 2019,,2019-01-18
16–17 Jan,ComRes/Sunday Mirror/Sunday Express Archived 15 December 2019 at the Wayback Machine,GB,2031,38%,37%,10%,3%,1%,3%,–,6%,–,1%,1,16–17 Jan 2019,,2019-01-17
10–17 Jan,Number Cruncher Politics,UK,1030,41%,39%,8%,3%,1%,2%,–,4%,–,1%,2,10–17 Jan 2019,,2019-01-17
14–15 Jan,ComRes/Daily Express Archived 15 December 2019 at the Wayback Machine,GB,2010,37%,39%,8%,3%,0%,3%,–,7%,–,1%,2,14–15 Jan 2019,,2019-01-15
13–14 Jan,YouGov/The Times,GB,1701,39%,34%,11%,4%,1%,4%,–,6%,–,1%,5,13–14 Jan 2019,,2019-01-14
10–14 Jan,Kantar Archived 26 June 2019 at the Wayback Machine,GB,1106,35%,38%,9%,4%,1%,4%,–,6%,–,3%,3,10–14 Jan 2019,,2019-01-14
10–11 Jan,Survation/Daily Mail,UK,1013,38%,41%,10%,3%,0%,2%,–,4%,–,3%,3,10–11 Jan 2019,,2019-01-11
8–11 Jan,BMG/The Independent,GB,1514,36%,36%,12%,3%,1%,5%,–,6%,–,1%,Tie,8–11 Jan 2019,,2019-01-11
6–7 Jan,YouGov/The Times,GB,1656,41%,35%,11%,4%,0%,3%,–,4%,–,1%,6,6–7 Jan 2019,,2019-01-07
21 Dec 2018 – 4 Jan 2019,YouGov/People's Vote,UK,25537,40%,34%,10%,4%,0%,4%,–,4%,–,2%,6,21 Dec 2018 – 4 Jan 2019 2019,,2019-01-04
Dates conducted,Pollster/client(s),Area,Sample size,,,,,,,,,,,Lead,Dates conducted 2018,Other,
18–20 Dec,Opinium/The Observer,GB,2000,39%,39%,6%,4%,0%,4%,,6%,,,Tie,18–20 Dec 2018,1%,2018-12-20
16–17 Dec,YouGov/The Times,GB,1660,41%,39%,7%,5%,5%,3%,,4%,,,2,16–17 Dec 2018,1%,2018-12-17
14–15 Dec,YouGov/Hope Not Hate,GB,1660,38%,35%,10%,6%,6%,5%,,4%,,,3,14–15 Dec 2018,2%,2018-12-15
13–14 Dec,Opinium/The Observer,GB,2016,38%,39%,8%,4%,1%,4%,,6%,,,1,13–14 Dec 2018,1%,2018-12-14
12–14 Dec,YouGov/People's Vote,GB,5043,40%,36%,10%,5%,5%,3%,,4%,,,4,12–14 Dec 2018,1%,2018-12-14
10–11 Dec,Populus/Best for Britain Archived 9 January 2019 at the Wayback Machine,GB,2002,37%,40%,7%,3%,1%,3%,,6%,,,3,10–11 Dec 2018,1%,2018-12-11
9–10 Dec,YouGov,GB,2008,39%,38%,9%,5%,5%,4%,,5%,,,1,9–10 Dec 2018,1%,2018-12-10
6–7 Dec,YouGov/The Sunday Times,GB,1652,38%,37%,10%,5%,5%,4%,,3%,,,1,6–7 Dec 2018,1%,2018-12-07
4–7 Dec,BMG/The Independent,GB,1508,37%,38%,12%,3%,1%,4%,,4%,,,1,4–7 Dec 2018,1%,2018-12-07
5–6 Dec,Kantar[permanent dead link‍],GB,1178,38%,38%,9%,4%,1%,5%,,5%,,,Tie,5–6 Dec 2018,1%,2018-12-06
30 Nov – 5 Dec,Ipsos MORI,GB,1049,38%,38%,9%,4%,1%,5%,,4%,,,Tie,30 Nov – 5 Dec 2018,1%,2018-12-05
3–4 Dec,YouGov/The Times,GB,1624,40%,38%,9%,5%,5%,4%,,4%,,,2,3–4 Dec 2018,1%,2018-12-04
30 Nov – 2 Dec,ComRes/Daily Express,GB,2035,37%,39%,9%,3%,0%,3%,,6%,,,2,30 Nov – 2 Dec 2018,1%,2018-12-02
26–27 Nov,YouGov/The Times,GB,1737,40%,35%,10%,4%,4%,3%,,6%,,,5,26–27 Nov 2018,1%,2018-11-27
18–19 Nov,YouGov/The Times,GB,1671,39%,36%,8%,6%,6%,4%,,4%,,,3,18–19 Nov 2018,1%,2018-11-19
14–15 Nov,ComRes/Sunday Mirror/Sunday Express,GB,2000,36%,40%,9%,3%,1%,3%,,7%,,,4,14–15 Nov 2018,1%,2018-11-15
14–15 Nov,Opinium/The Observer Archived 19 November 2018 at the Wayback Machine,GB,2003,36%,39%,7%,5%,1%,3%,,8%,,,3,14–15 Nov 2018,1%,2018-11-15
8–12 Nov,Kantar Archived 7 August 2020 at the Wayback Machine,GB,1147,40%,39%,8%,4%,1%,3%,,3%,,,1,8–12 Nov 2018,2%,2018-11-12
6–9 Nov,BMG/The Independent,GB,1506,36%,37%,12%,3%,1%,4%,,6%,,,1,6–9 Nov 2018,1%,2018-11-09
2–7 Nov,Panelbase/Constitutional Commission,GB,2016,40%,40%,8%,4%,1%,3%,,5%,,,Tie,2–7 Nov 2018,–,2018-11-07
4–5 Nov,YouGov/The Times,GB,1637,41%,37%,8%,4%,4%,4%,,4%,,,4,4–5 Nov 2018,1%,2018-11-05
20 Oct – 2 Nov,Survation/Channel 4,UK,20090,39%,40%,8%,3%,–,2%,,3%,,,1,20 Oct – 2 Nov 2018,3%,2018-11-02
29–30 Oct,YouGov/The Times,GB,1648,41%,39%,7%,4%,4%,2%,,5%,,,2,29–30 Oct 2018,0%,2018-10-30
26–28 Oct,ICM,GB,2048,40%,38%,9%,3%,1%,3%,,5%,,,2,26–28 Oct 2018,0%,2018-10-28
24–26 Oct,Deltapoll/Daily Mirror,GB,1017,43%,40%,6%,4%,0%,2%,,5%,,,3,24–26 Oct 2018,0%,2018-10-26
22–23 Oct,YouGov/The Times,GB,1802,41%,36%,8%,6%,6%,4%,,4%,,,5,22–23 Oct 2018,1%[d],2018-10-23
19–22 Oct,Ipsos MORI,GB,1044,39%,37%,10%,4%,1%,5%,,5%,,,2,19–22 Oct 2018,0%,2018-10-22
14–15 Oct,YouGov/The Times,GB,1649,41%,36%,9%,4%,4%,3%,,4%,,,5,14–15 Oct 2018,1%,2018-10-15
11–15 Oct,Kantar[permanent dead link‍],GB,1128,41%,36%,10%,4%,1%,4%,,3%,,,5,11–15 Oct 2018,2%,2018-10-15
11–12 Oct,Opinium/The Observer,GB,2010,41%,37%,8%,4%,1%,3%,,6%,,,4,11–12 Oct 2018,1%,2018-10-12
10 Oct,Survation,UK,1009,40%,39%,7%,4%,–,–,,6%,,,1,10 Oct 2018,5%,2018-10-10
8–9 Oct,YouGov/The Times,GB,1647,41%,37%,9%,5%,5%,3%,,4%,,,4,8–9 Oct 2018,2%[e],2018-10-09
