Dates conducted,Pollster/Client,Con,Lab,Lib,Lead,date_year_appended,end_date
22 Feb,MORI/Times,34%,46%,16%,12%,22 Feb 1993,1993-02-22
6 Feb,ICM/Guardian,37%,39%,18%,2%,6 Feb 1993,1993-02-06
1 Feb,Gallup/Telegraph,33.5%,46%,15.5%,12.5%,1 Feb 1993,1993-02-01
26 Jan,MORI/CCC,38%,44%,13%,8%,26 Jan 1993,1993-01-26
21 Jan,MORI/Sunday Times,37%,45%,14%,8%,21 Jan 1993,1993-01-21
11 Jan,Gallup/Telegraph,33.5%,45.5%,14.5%,12%,11 Jan 1993,1993-01-11
9 Jan,ICM/Guardian,39%,37%,18%,2%,9 Jan 1993,1993-01-09
Survey end date,Pollster/Client,,,,Lead,Survey end date 1992,
15 Dec,MORI/Sunday Times,34%,47%,16%,13%,15 Dec 1992,1992-12-15
5 Dec,ICM/Guardian,36%,41%,18%,5%,5 Dec 1992,1992-12-05
1 Dec,MORI/Sunday Times,34%,47%,15%,13%,1 Dec 1992,1992-12-01
30 Nov,Gallup/Telegraph,29%,52%,14%,23%,30 Nov 1992,1992-11-30
20 Nov,ICM/Express,33%,49%,14%,16%,20 Nov 1992,1992-11-20
12 Nov,Harris/Observer,32%,51%,14%,19%,12 Nov 1992,1992-11-12
8 Nov,Harris/World in Action,30%,53%,13%,23%,8 Nov 1992,1992-11-08
7 Nov,ICM/Guardian,36%,40%,19%,4%,7 Nov 1992,1992-11-07
2 Nov,Gallup/Telegraph,32.5%,50%,13%,17.5%,2 Nov 1992,1992-11-02
30 Oct,NOP/Independent on Sunday,34%,47%,14%,13%,30 Oct 1992,1992-10-30
27 Oct,MORI/Sunday Times,35%,45%,15%,10%,27 Oct 1992,1992-10-27
19 Oct,Gallup,29%,51%,14%,22%,19 Oct 1992,1992-10-19
12 Oct,Gallup,36%,45%,14%,9%,12 Oct 1992,1992-10-12
10 Oct,ICM/Guardian,38%,38%,19%,Tie,10 Oct 1992,1992-10-10
29 Sep,MORI/Sunday Times,37%,43%,16%,6%,29 Sep 1992,1992-09-29
28 Sep,Gallup/Telegraph,37%,44%,15%,7%,28 Sep 1992,1992-09-28
21 Sep,Gallup/Telegraph,37%,42%,17%,5%,21 Sep 1992,1992-09-21
19 Sep,MORI/Sunday Times,39%,43%,15%,4%,19 Sep 1992,1992-09-19
18 Sep,NOP/Independent on Sunday,39%,41%,16%,3%,18 Sep 1992,1992-09-18
17 Sep,Harris/Observer,36%,44%,16%,8%,17 Sep 1992,1992-09-17
16 Sep,Black Wednesday[10],Black Wednesday[10],Black Wednesday[10],Black Wednesday[10],Black Wednesday[10],16 Sep 1992,1992-09-16
7 Sep,Gallup,43%,41%,12%,2%,7 Sep 1992,1992-09-07
5 Sep,ICM/Guardian,39%,35%,19%,4%,5 Sep 1992,1992-09-05
2 Sep,MORI/Sunday Times,41%,44%,13%,3%,2 Sep 1992,1992-09-02
21 Aug,MORI/Times,38%,44%,14%,6%,21 Aug 1992,1992-08-21
14 Aug,NOP/Independent on Sunday,43%,39%,14%,4%,14 Aug 1992,1992-08-14
8 Aug,ICM/Guardian,41%,36%,17%,5%,8 Aug 1992,1992-08-08
3 Aug,Gallup,40.5%,45%,12%,4.5%,3 Aug 1992,1992-08-03
28 Jul,MORI/Sunday Times,39%,43%,15%,4%,28 Jul 1992,1992-07-28
18 Jul,John Smith becomes leader of the Labour Party[11],John Smith becomes leader of the Labour Party[11],John Smith becomes leader of the Labour Party[11],John Smith becomes leader of the Labour Party[11],John Smith becomes leader of the Labour Party[11],18 Jul 1992,1992-07-18
16 Jul,Harris/Observer,44%,38%,15%,6%,16 Jul 1992,1992-07-16
6 Jul,Gallup,42%,38%,16%,4%,6 Jul 1992,1992-07-06
4 Jul,ICM/Guardian,45%,36%,15%,9%,4 Jul 1992,1992-07-04
23 Jun,MORI/Sunday Times,42%,39%,16%,3%,23 Jun 1992,1992-06-23
18 Jun,Harris/Observer,46%,36%,15%,10%,18 Jun 1992,1992-06-18
6 Jun,ICM/Guardian,45%,36%,16%,9%,6 Jun 1992,1992-06-06
1 Jun,Gallup,45%,37%,17%,8%,1 Jun 1992,1992-06-01
26 May,MORI/Sunday Times,43%,38%,16%,5%,26 May 1992,1992-05-26
17 May,Audience Selection,45%,37%,13%,8%,17 May 1992,1992-05-17
14 May,Harris/Observer,46%,37%,13%,9%,14 May 1992,1992-05-14
9 May,ICM/Guardian,45%,34%,17%,11%,9 May 1992,1992-05-09
8 May,1992 local elections[12],1992 local elections[12],1992 local elections[12],1992 local elections[12],1992 local elections[12],8 May 1992,1992-05-08
4 May,Gallup,42%,39%,17%,3%,4 May 1992,1992-05-04
28 Apr,MORI/Sunday Times,43%,38%,16%,5%,28 Apr 1992,1992-04-28
16 Apr,Harris/Observer,44%,36%,17%,8%,16 Apr 1992,1992-04-16
12 Apr,Gallup,39%,38%,19%,1%,12 Apr 1992,1992-04-12
11 Apr,Audience Selection,42%,36%,18%,6%,11 Apr 1992,1992-04-11
9 Apr,1992 general election,41.9%,34.4%,17.8%,7.5%,9 Apr 1992,1992-04-09
