Dates conducted,Pollster,Client,Sample size,Lab,Con,Lib,Others,Lead,date_year_appended,end_date
20–23 Feb,MORI,The Times,1792,52%,28%,15%,5%,24%,20–23 Feb 1998,1998-02-23
6–8 Feb,ICM,The Guardian,1200,47%,31%,18%,4%,16%,6–8 Feb 1998,1998-02-08
28 Jan – 4 Feb,Gallup,The Daily Telegraph,1041,54%,29%,11%,5%,25%,28 Jan – 4 Feb 1998,1998-02-04
23–26 Jan,MORI,The Times,1870,54%,28%,14%,4%,26%,23–26 Jan 1998,1998-01-26
9–11 Jan,ICM,The Guardian,1200,48%,30%,17%,5%,18%,9–11 Jan 1998,1998-01-11
5–7 Jan,Gallup,The Daily Telegraph,1014,56%,26%,12%,5%,30%,5–7 Jan 1998,1998-01-07
Date(s) conducted,Pollster,Client,Sample size,,,,Others,Lead,Date(s) conducted 1997,
12–15 Dec,MORI,The Times,2122,55%,26%,15%,4%,29%,12–15 Dec 1997,1997-12-15
5–6 Dec,ICM,The Guardian,1200,50%,29%,17%,4%,21%,5–6 Dec 1997,1997-12-06
27 Nov – 3 Dec,Gallup,The Daily Telegraph,1011,57%,21%,17%,5%,36%,27 Nov – 3 Dec 1997,1997-12-03
21–24 Nov,MORI,The Times,1879,56%,24%,16%,4%,32%,21–24 Nov 1997,1997-11-24
20 Nov,By-elections in Beckenham and Winchester[31][32],By-elections in Beckenham and Winchester[31][32],By-elections in Beckenham and Winchester[31][32],By-elections in Beckenham and Winchester[31][32],By-elections in Beckenham and Winchester[31][32],By-elections in Beckenham and Winchester[31][32],By-elections in Beckenham and Winchester[31][32],By-elections in Beckenham and Winchester[31][32],20 Nov 1997,1997-11-20
13–14 Nov,MORI,The Sun,603,56%,30%,11%,3%,26%,13–14 Nov 1997,1997-11-14
7–8 Nov,ICM,The Guardian,1200,52%,30%,14%,4%,22%,7–8 Nov 1997,1997-11-08
6 Nov,Paisley South by-election[33],Paisley South by-election[33],Paisley South by-election[33],Paisley South by-election[33],Paisley South by-election[33],Paisley South by-election[33],Paisley South by-election[33],Paisley South by-election[33],6 Nov 1997,1997-11-06
30 Oct – 4 Nov,Gallup,The Daily Telegraph,1021,63%,23%,11%,4%,40%,30 Oct – 4 Nov 1997,1997-11-04
24–27 Oct,MORI,The Times,1772,60%,24%,12%,4%,36%,24–27 Oct 1997,1997-10-27
6 Oct,ICM,The Guardian,1211,59%,23%,13%,4%,36%,6 Oct 1997,1997-10-06
25 Sep – 1 Oct,Gallup,The Daily Telegraph,1014,60%,22%,14%,4%,38%,25 Sep – 1 Oct 1997,1997-10-01
26–29 Sep,MORI,The Times,1916,59%,25%,13%,3%,34%,26–29 Sep 1997,1997-09-29
18 Sep,Welsh devolution referendum[34],Welsh devolution referendum[34],Welsh devolution referendum[34],Welsh devolution referendum[34],Welsh devolution referendum[34],Welsh devolution referendum[34],Welsh devolution referendum[34],Welsh devolution referendum[34],18 Sep 1997,1997-09-18
11 Sep,Scottish devolution referendum[35][36],Scottish devolution referendum[35][36],Scottish devolution referendum[35][36],Scottish devolution referendum[35][36],Scottish devolution referendum[35][36],Scottish devolution referendum[35][36],Scottish devolution referendum[35][36],Scottish devolution referendum[35][36],11 Sep 1997,1997-09-11
4–8 Sep,ICM,The Guardian,1206,60%,24%,10%,6%,36%,4–8 Sep 1997,1997-09-08
27 Aug – 3 Sep,Gallup,The Daily Telegraph,1023,58%,26%,12%,5%,32%,27 Aug – 3 Sep 1997,1997-09-03
21–25 Aug,MORI,The Times,1758,54%,28%,15%,3%,26%,21–25 Aug 1997,1997-08-25
31 Jul – 6 Aug,Gallup,The Daily Telegraph,1203,58%,25%,12%,4%,33%,31 Jul – 6 Aug 1997,1997-08-06
31 Jul,Uxbridge by-election[37],Uxbridge by-election[37],Uxbridge by-election[37],Uxbridge by-election[37],Uxbridge by-election[37],Uxbridge by-election[37],Uxbridge by-election[37],Uxbridge by-election[37],31 Jul 1997,1997-07-31
25–28 Jul,MORI,The Times,1901,57%,23%,15%,5%,34%,25–28 Jul 1997,1997-07-28
27–28 Jun,ICM,The Guardian,1200,61%,23%,12%,4%,38%,27–28 Jun 1997,1997-06-28
20–23 Jun,MORI,The Times,1852,58%,24%,15%,3%,34%,20–23 Jun 1997,1997-06-23
19 Jun,William Hague is elected leader of the Conservative Party[38],William Hague is elected leader of the Conservative Party[38],William Hague is elected leader of the Conservative Party[38],William Hague is elected leader of the Conservative Party[38],William Hague is elected leader of the Conservative Party[38],William Hague is elected leader of the Conservative Party[38],William Hague is elected leader of the Conservative Party[38],William Hague is elected leader of the Conservative Party[38],19 Jun 1997,1997-06-19
29 May – 4 Jun,Gallup,The Daily Telegraph,996,59%,23%,13%,5%,36%,29 May – 4 Jun 1997,1997-06-04
21 May,Local elections in Northern Ireland[39],Local elections in Northern Ireland[39],Local elections in Northern Ireland[39],Local elections in Northern Ireland[39],Local elections in Northern Ireland[39],Local elections in Northern Ireland[39],Local elections in Northern Ireland[39],Local elections in Northern Ireland[39],21 May 1997,1997-05-21
1 May,Local elections in England[40],Local elections in England[40],Local elections in England[40],Local elections in England[40],Local elections in England[40],Local elections in England[40],Local elections in England[40],Local elections in England[40],1 May 1997,1997-05-01
1 May,1997 general election[41],1997 general election[41],–,43.2%,30.7%,16.8%,9.3%,12.5%,1 May 1997,1997-05-01
