Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,Lib,SNP,Grn,Ref,Others,Lead,date_year_appended,end_date
29 Sep – 1 Oct,Savanta,,UK,2129,27%,46%,11%,3%,4%,5%,4%,19,29 Sep – 1 Oct 2023,2023-10-01
28–29 Sep,We Think,,GB,1285,27%,47%,10%,3%,5%,7%,1%,20,28–29 Sep 2023,2023-09-29
27–29 Sep,Opinium,The Observer,GB,1993,29%,39%,12%,3%,7%,7%,3%,10,27–29 Sep 2023,2023-09-29
26–27 Sep,YouGov,The Times,GB,2066,24%,45%,11%,3%,7%,8%,1%,21,26–27 Sep 2023,2023-09-27
26–27 Sep,Techne,,UK,1633,27%,45%,10%,3%,6%,6%,3%,18,26–27 Sep 2023,2023-09-27
22–25 Sep,Deltapoll,,GB,2507,28%,44%,10%,4%,6%,5%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,16,22–25 Sep 2023,2023-09-25
11–25 Sep,Survation,38 Degrees,GB,11793,29%,46%,12%,5%,3%,5%,2% Plaid Cymru on 1% Other on 1%,17,11–25 Sep 2023,2023-09-25
24 Sep,Redfield & Wilton,,GB,2000,28%,43%,13%,2%,5%,8%,1%,15,24 Sep 2023,2023-09-24
22–24 Sep,Savanta,,UK,2093,30%,44%,11%,2%,4%,5%,4%,14,22–24 Sep 2023,2023-09-24
21–22 Sep,YouGov,The Times,GB,2144,27%,43%,10%,4%,7%,8%,2%,16,21–22 Sep 2023,2023-09-22
21–22 Sep,We Think,,GB,1268,28%,45%,9%,3%,6%,6%,2%,17,21–22 Sep 2023,2023-09-22
20–21 Sep,Techne,,UK,1636,26%,45%,11%,3%,7%,5%,3%,19,20–21 Sep 2023,2023-09-21
18–20 Sep,More in Common,,GB,1355,28%,43%,12%,3%,6%,7%,0%,15,18–20 Sep 2023,2023-09-20
17 Sep,Redfield & Wilton,,GB,2000,26%,44%,14%,3%,6%,6%,1%,18,17 Sep 2023,2023-09-17
15–17 Sep,Savanta,,UK,2255,26%,46%,12%,3%,4%,5%,5%,20,15–17 Sep 2023,2023-09-17
14–15 Sep,We Think,,GB,1268,27%,44%,11%,3%,6%,7%,2%,17,14–15 Sep 2023,2023-09-15
13–15 Sep,Opinium,The Observer,GB,1414,26%,41%,11%,3%,7%,8%,2%,15,13–15 Sep 2023,2023-09-15
13–14 Sep,YouGov,The Times,GB,2049,24%,45%,9%,3%,9%,8%,2%,21,13–14 Sep 2023,2023-09-14
11–15 Sep,Deltapoll,,GB,2039,23%,47%,10%,4%,7%,6%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,24,11–15 Sep 2023,2023-09-15
13–14 Sep,Techne,,UK,1634,26%,46%,10%,3%,6%,6%,3%,20,13–14 Sep 2023,2023-09-14
9–12 Sep,Ipsos,,GB,1004,24%,44%,12%,4%,8%,4%,3%,20,9–12 Sep 2023,2023-09-12
10 Sep,Redfield & Wilton,,GB,2000,25%,45%,12%,4%,6%,6%,1%,20,10 Sep 2023,2023-09-10
7–8 Sep,YouGov,The Times,GB,2107,24%,46%,10%,4%,7%,6%,2%,22,7–8 Sep 2023,2023-09-08
7–8 Sep,We Think,,GB,1268,26%,46%,9%,3%,6%,6%,3%,20,7–8 Sep 2023,2023-09-08
6–7 Sep,Techne,,UK,1627,25%,46%,10%,3%,6%,7%,3%,21,6–7 Sep 2023,2023-09-07
1–4 Sep,Deltapoll Archived 6 September 2023 at the Wayback Machine,,GB,2009,28%,46%,10%,3%,5%,7%,2% UKIP on 1% Plaid Cymru on 1% Other on 0%,18,1–4 Sep 2023,2023-09-04
31 Aug – 4 Sep,Kantar Public,,GB,1146,27%,43%,13%,5%,5%,4%,3% UKIP on 1% Plaid Cymru on <1% Other on 1%,15,31 Aug – 4 Sep 2023,2023-09-04
3 Sep,Redfield & Wilton,,GB,2000,28%,44%,14%,3%,4%,6%,1%,16,3 Sep 2023,2023-09-03
1–3 Sep,Savanta,,UK,2223,29%,45%,10%,3%,3%,6%,5%,16,1–3 Sep 2023,2023-09-03
31 Aug – 1 Sep,Opinium,The Observer,GB,1400,28%,42%,9%,3%,8%,8%,2%,14,31 Aug – 1 Sep 2023,2023-09-01
31 Aug – 1 Sep,We Think,,GB,1294,25%,46%,11%,3%,5%,7%,2%,21,31 Aug – 1 Sep 2023,2023-09-01
18 Aug – 1 Sep,Survation,Greenpeace,GB,20205,29%,46%,11%,3%,3%,4%,4% UKIP on 1% Plaid Cymru on 1% Reclaim Party on 1% Other on 0%,17,18 Aug – 1 Sep 2023,2023-09-01
30–31 Aug,YouGov,The Times,GB,2103,26%,44%,10%,4%,7%,7%,2%,18,30–31 Aug 2023,2023-08-31
30–31 Aug,Techne,,UK,1633,24%,45%,11%,3%,6%,8%,3%,21,30–31 Aug 2023,2023-08-31
27 Aug,Redfield & Wilton,,GB,2000,28%,44%,12%,3%,4%,7%,3%,16,27 Aug 2023,2023-08-27
25–27 Aug,Savanta,,UK,2159,29%,46%,10%,3%,4%,5%,3%,17,25–27 Aug 2023,2023-08-27
24–25 Aug,Deltapoll,,GB,1061,30%,46%,12%,3%,3%,5%,2% UKIP on 1% Plaid Cymru on 0% Other on 1%,16,24–25 Aug 2023,2023-08-25
23–24 Aug,We Think,,GB,1356,26%,47%,11%,3%,5%,6%,2%,21,23–24 Aug 2023,2023-08-24
22–23 Aug,BMG,The i,GB,1338,29%,44%,10%,3%,4%,8%,1%,15,22–23 Aug 2023,2023-08-23
22–23 Aug,YouGov,The Times,GB,2106,24%,44%,9%,3%,8%,9%,3% Plaid Cymru on 1% Other on 2%,20,22–23 Aug 2023,2023-08-23
17–21 Aug,Deltapoll,,GB,1520,25%,50%,9%,3%,7%,4%,3% UKIP on 1% Plaid Cymru on 1% Other on 1%,25,17–21 Aug 2023,2023-08-21
20 Aug,Redfield & Wilton,,GB,2000,27%,42%,13%,3%,6%,7%,1%,15,20 Aug 2023,2023-08-20
18 Aug,Omnisis,,GB,1315,28%,44%,10%,3%,5%,7%,3% Plaid Cymru on 1% Other on 2%,16,18 Aug 2023,2023-08-18
17–18 Aug,YouGov,The Times,GB,2122,26%,45%,10%,3%,8%,7%,2% Plaid Cymru on 1% Other on 1%,19,17–18 Aug 2023,2023-08-18
16–18 Aug,Opinium,The Observer,GB,1452,26%,41%,11%,3%,7%,9%,3% Plaid Cymru on 1% Other on 2%,15,16–18 Aug 2023,2023-08-18
14–16 Aug,More in Common Archived 18 August 2023 at the Wayback Machine,,GB,2052,29%,44%,11%,4%,6%,6%,0%,15,14–16 Aug 2023,2023-08-16
13 Aug,Redfield & Wilton,,GB,2000,28%,48%,10%,4%,4%,5%,0%,20,13 Aug 2023,2023-08-13
10–11 Aug,Omnisis,,GB,1345,24%,48%,10%,3%,6%,6%,3% Plaid Cymru on 1% Other on 1% Independent on 1%,24,10–11 Aug 2023,2023-08-11
9–11 Aug,Deltapoll,Mail on Sunday,GB,1504,29%,46%,12%,2%,5%,4%,2% UKIP on 1% Plaid Cymru on 1% Other on 0%,17,9–11 Aug 2023,2023-08-11
4–7 Aug,Deltapoll,,GB,1023,26%,47%,12%,3%,4%,4%,4% UKIP on 2% Plaid Cymru on 1% Other on 1%,21,4–7 Aug 2023,2023-08-07
6 Aug,Redfield & Wilton,,GB,2000,27%,45%,10%,3%,6%,8%,1%,18,6 Aug 2023,2023-08-06
3–4 Aug,Omnisis,,GB,1420,25%,47%,11%,3%,5%,7%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,22,3–4 Aug 2023,2023-08-04
2–4 Aug,Opinium,The Observer,GB,1484,26%,40%,10%,3%,7%,10%,2% Plaid Cymru on 0% Other on 2%,14,2–4 Aug 2023,2023-08-04
31 Jul – 4 Aug,FindOutNow/Electoral Calculus,Channel 4 News,GB,11142,24%,44%,12%,4%,8%,6%,3% Plaid Cymru on 1% Other on 2%,20,31 Jul – 4 Aug 2023,2023-08-04
2–3 Aug,YouGov,The Times,GB,2313,25%,47%,10%,3%,6%,7%,2% Plaid Cymru on 1% Other on 1%,22,2–3 Aug 2023,2023-08-03
2–3 Aug,Techne,,UK,1624,26%,46%,10%,3%,5%,7%,3%,20,2–3 Aug 2023,2023-08-03
28–31 Jul,Deltapoll,,GB,1556,25%,48%,11%,3%,5%,6%,2% UKIP on 1% Plaid Cymru on 1% Other on 0%,23,28–31 Jul 2023,2023-07-31
30 Jul,Redfield & Wilton,,GB,2000,28%,43%,11%,4%,5%,7%,3%,15,30 Jul 2023,2023-07-30
28 Jul,Omnisis,,GB,1339,25%,48%,10%,3%,6%,6%,2% Plaid Cymru on 0% Other on 2%,23,28 Jul 2023,2023-07-28
26–27 Jul,Techne,,UK,1624,25%,45%,10%,3%,6%,8%,3%,20,26–27 Jul 2023,2023-07-27
25–26 Jul,BMG,The i,GB,1524,27%,44%,14%,3%,4%,7%,2%,17,25–26 Jul 2023,2023-07-26
25–26 Jul,YouGov,The Times,GB,2000,25%,45%,10%,3%,7%,7%,2% Plaid Cymru on 0% Other on 2%,20,25–26 Jul 2023,2023-07-26
21–24 Jul,Deltapoll,,GB,1482,26%,49%,9%,3%,5%,4%,4% UKIP on 2% Plaid Cymru on 2% Other on 1%,23,21–24 Jul 2023,2023-07-24
23 Jul,Redfield & Wilton,,GB,2000,28%,45%,14%,2%,4%,6%,1%,17,23 Jul 2023,2023-07-23
21–23 Jul,Savanta,,UK,2240,28%,47%,10%,3%,3%,4%,4% Plaid Cymru on 0% Other on 4%,19,21–23 Jul 2023,2023-07-23
19–23 Jul,Ipsos,Evening Standard,GB,1065,28%,45%,12%,3%,6%,3%,3% UKIP on 1% Plaid Cymru on 1% Other on 1%,17,19–23 Jul 2023,2023-07-23
20–21 Jul,Omnisis,,GB,1380,25%,47%,10%,3%,5%,7%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,22,20–21 Jul 2023,2023-07-21
19–21 Jul,Opinium,The Observer,GB,1468,25%,42%,11%,3%,6%,10%,3% Plaid Cymru on 1% Other on 2%,17,19–21 Jul 2023,2023-07-21
20 Jul,"By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip","By-elections in Selby and Ainsty, Somerton and Frome, and Uxbridge and South Ruislip",20 Jul 2023,2023-07-20
19–20 Jul,Techne,,UK,1632,26%,45%,11%,3%,5%,7%,3%,19,19–20 Jul 2023,2023-07-20
19–20 Jul,YouGov,The Times,GB,2069,25%,44%,10%,3%,7%,8%,3% Plaid Cymru on 1% Other on 2%,19,19–20 Jul 2023,2023-07-20
18 Jul,More in Common Archived 19 July 2023 at the Wayback Machine,,GB,1584,29%,44%,12%,4%,5%,5%,1%,15,18 Jul 2023,2023-07-18
14–17 Jul,Deltapoll,,GB,1000,24%,48%,11%,3%,5%,6%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,24,14–17 Jul 2023,2023-07-17
16 Jul,Redfield & Wilton,,GB,2000,27%,44%,13%,3%,4%,8%,1%,17,16 Jul 2023,2023-07-16
14–16 Jul,Savanta,,UK,2265,28%,46%,11%,3%,3%,5%,4% Plaid Cymru on 0% Other on 4%,18,14–16 Jul 2023,2023-07-16
13–14 Jul,Omnisis,,GB,1361,25%,47%,10%,3%,5%,6%,3% Plaid Cymru on 1% Other on 1% Independent on 1%,22,13–14 Jul 2023,2023-07-14
12–13 Jul,Techne,,UK,1628,26%,46%,11%,3%,5%,6%,3%,20,12–13 Jul 2023,2023-07-13
10–11 Jul,YouGov,The Times,GB,2015,25%,43%,11%,4%,7%,9%,3% Plaid Cymru on 1% Other on 2%,18,10–11 Jul 2023,2023-07-11
7–10 Jul,Deltapoll,,GB,1617,28%,46%,9%,4%,7%,4%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,18,7–10 Jul 2023,2023-07-10
9 Jul,Redfield & Wilton,,GB,2000,27%,48%,11%,4%,3%,5%,1%,21,9 Jul 2023,2023-07-09
7–9 Jul,Survation,,UK,838,28%,46%,12%,3%,3%,4%,5% UKIP on 1% Plaid Cymru on 0% Reclaim Party on 0% Other on 4%,18,7–9 Jul 2023,2023-07-09
7–9 Jul,Savanta,,UK,2242,30%,45%,10%,3%,3%,5%,4%,15,7–9 Jul 2023,2023-07-09
6–7 Jul,Omnisis,,GB,1312,25%,51%,8%,3%,5%,5%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,26,6–7 Jul 2023,2023-07-07
5–7 Jul,Opinium,The Observer,GB,1473,28%,43%,9%,3%,6%,8%,3% Plaid Cymru on 1% Other on 2%,15,5–7 Jul 2023,2023-07-07
5–6 Jul,YouGov,The Times,GB,2062,22%,47%,9%,3%,7%,9%,3% Plaid Cymru on 1% Other on 2%,25,5–6 Jul 2023,2023-07-06
5–6 Jul,Techne,,UK,1632,26%,47%,10%,3%,5%,6%,3%,21,5–6 Jul 2023,2023-07-06
29 Jun – 3 Jul,Deltapoll,,GB,1507,25%,48%,10%,4%,5%,5%,3% UKIP on 1% Plaid Cymru on 0% Other on 2%,23,29 Jun – 3 Jul 2023,2023-07-03
2 Jul,Redfield & Wilton,,GB,2000,28%,46%,11%,3%,5%,5%,2%,18,2 Jul 2023,2023-07-02
30 Jun – 2 Jul,Survation,,UK,1013,30%,45%,11%,3%,3%,3%,6% Plaid Cymru on 0% UKIP on 1% Reclaim on 0% Other on 4%,15,30 Jun – 2 Jul 2023,2023-07-02
30 Jun – 2 Jul,Savanta,,UK,2216,28%,46%,11%,3%,4%,4%,4%,18,30 Jun – 2 Jul 2023,2023-07-02
29–30 Jun,Omnisis,,GB,1351,26%,48%,8%,4%,5%,7%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,22,29–30 Jun 2023,2023-06-30
28–29 Jun,Techne,,UK,1631,27%,46%,11%,3%,5%,6%,2%,19,28–29 Jun 2023,2023-06-29
27–29 Jun,BMG,The i,GB,1500,29%,43%,11%,3%,7%,6%,1% Plaid Cymru on 0% Other on 1%,14,27–29 Jun 2023,2023-06-29
27–28 Jun,YouGov,The Times,GB,2047,24%,46%,10%,3%,7%,8%,3% Plaid Cymru on 1% Other on 2%,22,27–28 Jun 2023,2023-06-28
23–26 Jun,Survation,,UK,2054,28%,45%,11%,3%,3%,4%,5% Plaid Cymru on 0% UKIP on 1% Reclaim on 0% Other on 3%,17,23–26 Jun 2023,2023-06-26
23–26 Jun,Deltapoll,,GB,1089,24%,47%,12%,4%,4%,7%,1% UKIP on 1% Plaid Cymru on 0% Other on 0%,23,23–26 Jun 2023,2023-06-26
25 Jun,Redfield & Wilton,,GB,2000,26%,44%,13%,3%,5%,6%,3%,18,25 Jun 2023,2023-06-25
23–25 Jun,Savanta,TBA,UK,2322,31%,43%,10%,4%,3%,5%,4%,12,23–25 Jun 2023,2023-06-25
22–23 Jun,Omnisis,,GB,1336,27%,47%,9%,3%,6%,6%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,20,22–23 Jun 2023,2023-06-23
21–23 Jun,Opinium,The Observer,GB,2063,26%,44%,8%,2%,7%,10%,3% Plaid Cymru on 1% Other on 2%,18,21–23 Jun 2023,2023-06-23
21–22 Jun,Techne,,UK,1629,29%,45%,10%,3%,5%,5%,3%,16,21–22 Jun 2023,2023-06-22
20–21 Jun,YouGov,The Times,GB,2294,22%,47%,11%,3%,8%,7%,3% Plaid Cymru on 1% Other on 2%,25,20–21 Jun 2023,2023-06-21
14–20 Jun,Ipsos,Evening Standard,GB,1033,25%,47%,13%,3%,8%,3%,2% Plaid Cymru on 1% UKIP on 0% Other on 1%,22,14–20 Jun 2023,2023-06-20
16–19 Jun,Deltapoll,,GB,1554,27%,46%,10%,4%,6%,5%,1% UKIP on 1% Plaid Cymru on 0% Other on 0%,19,16–19 Jun 2023,2023-06-19
15–19 Jun,Survation,,UK,1007,29%,47%,11%,3%,3%,3%,4% UKIP on 0% Plaid Cymru on 0% Reclaim Party on 0% Other on 3%,18,15–19 Jun 2023,2023-06-19
15–19 Jun,More in Common Archived 4 September 2023 at the Wayback Machine,,GB,1570,28%,47%,10%,4%,5%,6%,1%,19,15–19 Jun 2023,2023-06-19
18 Jun,Redfield & Wilton,,GB,2000,26%,46%,12%,3%,6%,7%,1%,20,18 Jun 2023,2023-06-18
16–18 Jun,Savanta,,UK,2196,28%,46%,11%,3%,3%,4%,5%,18,16–18 Jun 2023,2023-06-18
15–16 Jun,YouGov,The Times,GB,2072,24%,43%,11%,4%,8%,7%,3% Plaid Cymru on 1% Other on 2%,19,15–16 Jun 2023,2023-06-16
15–16 Jun,Omnisis,,GB,1306,26%,48%,10%,3%,6%,5%,2% Plaid Cymru on 1% Other on 0% Independent on 1%,22,15–16 Jun 2023,2023-06-16
14–15 Jun,Techne,,UK,1625,28%,44%,11%,3%,5%,6%,3%,16,14–15 Jun 2023,2023-06-15
9–12 Jun,Deltapoll,,GB,1084,31%,42%,12%,4%,4%,4%,2% UKIP on 2% Plaid Cymru on 0% Other on 0%,11,9–12 Jun 2023,2023-06-12
11 Jun,Redfield & Wilton,,GB,2000,30%,44%,13%,3%,4%,6%,1%,14,11 Jun 2023,2023-06-11
9–11 Jun,Savanta,,UK,2030,28%,45%,9%,4%,4%,6%,4%,17,9–11 Jun 2023,2023-06-11
2–11 Jun,YouGov,Times Radio,GB,9903,26%,44%,10%,4%,7%,7%,3% Plaid Cymru on 1% Other on 2%,18,2–11 Jun 2023,2023-06-11
7–9 Jun,Opinium,The Observer,GB,2107,29%,41%,11%,3%,7%,6%,3% Plaid Cymru on 1% Other on 2%,12,7–9 Jun 2023,2023-06-09
8–9 Jun,Omnisis,,GB,1296,27%,47%,10%,3%,5%,6%,3% Plaid Cymru on 1% Other on 1% Independent on 1%,20,8–9 Jun 2023,2023-06-09
7–8 Jun,Techne,,UK,1632,29%,42%,12%,3%,6%,5%,3%,13,7–8 Jun 2023,2023-06-08
6–7 Jun,YouGov,The Times,GB,2071,26%,42%,11%,4%,8%,7%,3% Plaid Cymru on 1% Other on 2%,16,6–7 Jun 2023,2023-06-07
2–5 Jun,Deltapoll,,GB,1525,29%,43%,13%,3%,5%,5%,3% UKIP on 2% Plaid Cymru on 1% Other on 0%,14,2–5 Jun 2023,2023-06-05
4 Jun,Redfield & Wilton,,GB,2000,30%,44%,12%,3%,5%,5%,1%,14,4 Jun 2023,2023-06-04
2–4 Jun,Savanta,,UK,2109,30%,44%,11%,3%,3%,5%,3%,14,2–4 Jun 2023,2023-06-04
1–2 Jun,Omnisis,,GB,1351,25%,46%,10%,3%,7%,6%,3% Plaid Cymru on 1% Other on 1% Independent on 1%,21,1–2 Jun 2023,2023-06-02
31 May – 1 Jun,Techne,,UK,1630,29%,43%,12%,3%,6%,4%,3%,14,31 May – 1 Jun 2023,2023-06-01
30–31 May,YouGov,The Times,GB,2000,25%,44%,11%,3%,7%,6%,3% Plaid Cymru on 1% Other on 2%,19,30–31 May 2023,2023-05-31
30–31 May,BMG,The i,GB,1529,27%,44%,10%,4%,7%,7%,2% Plaid Cymru on 0% Other on 2%,17,30–31 May 2023,2023-05-31
28 May,Redfield & Wilton,,GB,2000,28%,43%,12%,3%,7%,5%,3%,15,28 May 2023,2023-05-28
26–28 May,Savanta,,UK,2223,31%,44%,9%,3%,3%,5%,5%,13,26–28 May 2023,2023-05-28
25–26 May,YouGov,The Times,GB,2072,25%,43%,11%,4%,7%,7%,3% Plaid Cymru on 1% Other on 2%,18,25–26 May 2023,2023-05-26
25–26 May,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1361,28%,47%,10%,3%,5%,5%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,19,25–26 May 2023,2023-05-26
23–26 May,Opinium,The Observer,GB,2062,28%,43%,9%,3%,7%,6%,4% Plaid Cymru on 1% Other on 3%,15,23–26 May 2023,2023-05-26
24–25 May,Techne,,UK,1625,30%,44%,11%,3%,5%,4%,3%,14,24–25 May 2023,2023-05-25
19–22 May,Deltapoll[permanent dead link‍],,GB,1575,30%,47%,9%,4%,4%,4%,1% UKIP on 1% Other on 0%,17,19–22 May 2023,2023-05-22
18–22 May,Kantar Public,,GB,1143,29%,42%,11%,4%,5%,5%,4% UKIP on 1% Other on 3%,13,18–22 May 2023,2023-05-22
21 May,Redfield & Wilton,,GB,2000,30%,42%,13%,4%,4%,5%,2%,12,21 May 2023,2023-05-21
19–21 May,Savanta,,UK,2043,30%,46%,9%,3%,3%,5%,4%,16,19–21 May 2023,2023-05-21
18 May,Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],Local elections in Northern Ireland[11],18 May 2023,2023-05-18
17–18 May,YouGov,The Times,GB,2006,25%,43%,12%,3%,8%,6%,3% Plaid Cymru on 1% Other on 2%,18,17–18 May 2023,2023-05-18
17–18 May,Omnisis,,GB,1389,25%,47%,10%,3%,5%,6%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,22,17–18 May 2023,2023-05-18
17–18 May,Techne,,UK,1633,29%,45%,10%,3%,4%,5%,3%,16,17–18 May 2023,2023-05-18
10–16 May,Ipsos,Evening Standard,GB,1006,28%,44%,13%,4%,6%,2%,4%,16,10–16 May 2023,2023-05-16
12–15 May,More in Common Archived 24 May 2023 at the Wayback Machine,,GB,2017,31%,42%,13%,3%,5%,5%,2%,11,12–15 May 2023,2023-05-15
12–15 May,Deltapoll,,GB,1511,29%,45%,12%,3%,4%,5%,3% UKIP on 2% Plaid Cymru on 0% Other on 1%,16,12–15 May 2023,2023-05-15
14 May,Redfield & Wilton,,GB,2000,28%,42%,11%,4%,5%,8%,2%,14,14 May 2023,2023-05-14
12–14 May,Savanta,,UK,2214,29%,46%,9%,3%,3%,5%,4%,17,12–14 May 2023,2023-05-14
11–12 May,Omnisis,,GB,1355,24%,51%,10%,3%,4%,6%,4% Plaid Cymru on 1% Other on 2% Independent on 1%,27,11–12 May 2023,2023-05-12
10–12 May,Opinium,The Observer,GB,2050,29%,43%,11%,3%,5%,6%,3% Plaid Cymru on 0% Other on 3%,14,10–12 May 2023,2023-05-12
10–11 May,Techne,,UK,1625,28%,45%,11%,3%,5%,5%,3%,17,10–11 May 2023,2023-05-11
9–10 May,YouGov,The Times,GB,2001,25%,43%,11%,3%,8%,7%,2% Plaid Cymru on 1% UKIP on 1% Other on 1%,18,9–10 May 2023,2023-05-10
5–9 May,Deltapoll,,GB,1550,28%,47%,9%,3%,5%,5%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,19,5–9 May 2023,2023-05-09
7 May,Redfield & Wilton,,GB,2000,29%,41%,16%,3%,4%,5%,1%,12,7 May 2023,2023-05-07
5–7 May,Savanta,,UK,2168,30%,46%,9%,4%,3%,5%,4%,16,5–7 May 2023,2023-05-07
4–5 May,Omnisis,,GB,1355,27%,48%,7%,4%,6%,6%,1% Plaid Cymru on 0% Other on 1%,21,4–5 May 2023,2023-05-05
4 May,Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],Local elections in England[12],4 May 2023,2023-05-04
3–4 May,BMG,The i,GB,1534,29%,43%,11%,3%,6%,5%,3% Plaid Cymru on 1% Other on 2%,14,3–4 May 2023,2023-05-04
3–4 May,YouGov,The Times,GB,2012,26%,43%,10%,4%,7%,6%,4% Plaid Cymru on 1% Other on 3%,17,3–4 May 2023,2023-05-04
2–3 May,Techne,,UK,1632,29%,44%,11%,3%,5%,6%,3%,15,2–3 May 2023,2023-05-03
28 Apr – 2 May,Deltapoll,,GB,1561,29%,44%,11%,4%,4%,4%,4% Plaid Cymru on 1% UKIP on 2% Other on 1%,15,28 Apr – 2 May 2023,2023-05-02
30 Apr,Redfield & Wilton,,GB,2000,28%,45%,12%,2%,4%,7%,1%,17,30 Apr 2023,2023-04-30
28–30 Apr,Savanta,,UK,2241,31%,44%,9%,4%,3%,5%,4%,13,28–30 Apr 2023,2023-04-30
26–28 Apr,Opinium,The Observer,GB,1425,26%,44%,10%,3%,7%,7%,2% Plaid Cymru on 0% Other on 2%,18,26–28 Apr 2023,2023-04-28
24–28 Apr,Survation,Good Morning Britain,UK,2014,28%,45%,12%,3%,4%,3%,6% Plaid Cymru on 1% Other on 5%,17,24–28 Apr 2023,2023-04-28
26–27 Apr,Omnisis,,GB,1352,28%,45%,10%,4%,6%,6%,2% Plaid Cymru on 0% Other on 1% Independent on 1%,17,26–27 Apr 2023,2023-04-27
26–27 Apr,YouGov,The Times,GB,2111,27%,41%,11%,4%,7%,7%,3% Plaid Cymru on 1% Other on 2%,14,26–27 Apr 2023,2023-04-27
26–27 Apr,Techne,,UK,1627,30%,44%,9%,3%,5%,6%,3%,14,26–27 Apr 2023,2023-04-27
24–26 Apr,Deltapoll,,GB,1576,30%,43%,9%,4%,5%,5%,4% Plaid Cymru on 1% UKIP on 2% Other on 1%,13,24–26 Apr 2023,2023-04-26
23 Apr,Redfield & Wilton,,GB,2000,29%,44%,11%,3%,5%,6%,1%,15,23 Apr 2023,2023-04-23
21–23 Apr,Savanta,,UK,2156,31%,42%,9%,3%,3%,7%,5%,11,21–23 Apr 2023,2023-04-23
20 Apr,Techne,,UK,1626,31%,44%,10%,3%,5%,5%,3%,13,20 Apr 2023,2023-04-20
19–20 Apr,Omnisis,,GB,1318,27%,47%,7%,4%,6%,7%,3% Plaid Cymru on 1% Other on 1% Independent on 1%,20,19–20 Apr 2023,2023-04-20
18–19 Apr,YouGov,The Times,GB,2010,28%,43%,10%,2%,6%,7%,3% Plaid Cymru on 1% Other on 2%,15,18–19 Apr 2023,2023-04-19
13–17 Apr,Deltapoll,,GB,1567,29%,43%,10%,4%,5%,4%,4% Plaid Cymru on 2% UKIP on 1% Other on 1%,14,13–17 Apr 2023,2023-04-17
16 Apr,Redfield & Wilton,,GB,2000,32%,44%,10%,4%,4%,4%,1%,12,16 Apr 2023,2023-04-16
14–16 Apr,Savanta,,UK,2237,31%,45%,8%,3%,3%,5%,4%,14,14–16 Apr 2023,2023-04-16
12–14 Apr,Opinium,The Observer,GB,1370,28%,42%,10%,3%,6%,8%,3% Plaid Cymru on 1% Other on 2%,14,12–14 Apr 2023,2023-04-14
12–13 Apr,Techne,,UK,1630,30%,45%,10%,3%,4%,6%,3%,15,12–13 Apr 2023,2023-04-13
12–13 Apr,YouGov,The Times,GB,2010,27%,45%,10%,3%,5%,6%,3% Plaid Cymru on 1% Other on 2%,18,12–13 Apr 2023,2023-04-13
12–13 Apr,Omnisis,,GB,1340,25%,48%,9%,4%,5%,7%,2% Plaid Cymru on 1% Other on 1%,23,12–13 Apr 2023,2023-04-13
6–11 Apr,More in Common,,GB,2046,30%,44%,10%,3%,6%,5%,2%,14,6–11 Apr 2023,2023-04-11
9 Apr,Redfield & Wilton,,GB,2000,30%,44%,10%,3%,5%,6%,2%,14,9 Apr 2023,2023-04-09
