Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
22–23 Jun,YouGov/The Sun,1652,32%,36%,9%,15%,4%,4%,4%,22–23 Jun 2014,2014-06-23
20–22 Jun,Lord Ashcroft,1006,28%,33%,9%,17%,7%,6%,5%,20–22 Jun 2014,2014-06-22
20–22 Jun,Populus,2062,32%,37%,9%,13%,3%,5%,5%,20–22 Jun 2014,2014-06-22
19–20 Jun,YouGov/Sunday Times,2016,32%,38%,8%,14%,5%,4%,6%,19–20 Jun 2014,2014-06-20
18–19 Jun,Populus,2032,34%,36%,8%,13%,3%,6%,2%,18–19 Jun 2014,2014-06-19
18–19 Jun,YouGov/The Sun,2097,33%,37%,8%,15%,3%,4%,4%,18–19 Jun 2014,2014-06-19
17–19 Jun,Opinium/The Observer,1946,31%,35%,7%,17%,5%,5%,4%,17–19 Jun 2014,2014-06-19
17–18 Jun,YouGov/The Sun,2066,34%,38%,7%,13%,5%,3%,4%,17–18 Jun 2014,2014-06-18
16–17 Jun,YouGov/The Sun,1897,34%,37%,7%,13%,4%,6%,3%,16–17 Jun 2014,2014-06-17
14–17 Jun,Ipsos MORI,1001,31%,34%,8%,14%,8%,5%,3%,14–17 Jun 2014,2014-06-17
15–16 Jun,YouGov/The Sun,1696,32%,36%,10%,14%,5%,4%,4%,15–16 Jun 2014,2014-06-16
13–15 Jun,ICM/The Guardian[15],1001,31%,32%,10%,16%,6%,5%,1%,13–15 Jun 2014,2014-06-15
13–15 Jun,Lord Ashcroft,1001,29%,35%,8%,15%,6%,7%,6%,13–15 Jun 2014,2014-06-15
13–15 Jun,Populus,2036,33%,37%,9%,13%,4%,4%,4%,13–15 Jun 2014,2014-06-15
12–13 Jun,YouGov/Sunday Times,2106,33%,37%,8%,13%,5%,4%,4%,12–13 Jun 2014,2014-06-13
11–13 Jun,"ComRes/Independent on Sunday, Sunday Mirror[permanent dead link‍]",2034,32%,34%,7%,18%,4%,5%,2%,11–13 Jun 2014,2014-06-13
11–12 Jun,YouGov/The Sun on Sunday,2337,33%,36%,8%,14%,5%,4%,3%,11–12 Jun 2014,2014-06-12
11–12 Jun,Populus,2051,32%,35%,8%,15%,5%,5%,3%,11–12 Jun 2014,2014-06-12
11–12 Jun,YouGov/The Sun,2183,32%,38%,8%,12%,5%,5%,6%,11–12 Jun 2014,2014-06-12
10–12 Jun,TNS BMRB Archived 11 October 2014 at the Wayback Machine,1195,29%,35%,6%,23%,7%,7%,6%,10–12 Jun 2014,2014-06-12
10–11 Jun,YouGov/The Sun,2157,34%,36%,6%,14%,5%,5%,2%,10–11 Jun 2014,2014-06-11
9–10 Jun,YouGov/The Sun,1974,35%,37%,8%,12%,3%,5%,2%,9–10 Jun 2014,2014-06-10
8–9 Jun,YouGov/The Sun,1685,31%,37%,7%,15%,5%,5%,6%,8–9 Jun 2014,2014-06-09
6–8 Jun,Lord Ashcroft,1003,28%,32%,8%,17%,7%,8%,4%,6–8 Jun 2014,2014-06-08
6–8 Jun,Populus,2039,35%,36%,9%,14%,3%,4%,1%,6–8 Jun 2014,2014-06-08
5–6 Jun,YouGov/Sunday Times,2134,33%,37%,7%,14%,5%,4%,4%,5–6 Jun 2014,2014-06-06
4–6 Jun,Populus,2006,34%,35%,9%,14%,5%,4%,1%,4–6 Jun 2014,2014-06-06
5 Jun,2014 Newark by-election,2014 Newark by-election,2014 Newark by-election,2014 Newark by-election,2014 Newark by-election,2014 Newark by-election,2014 Newark by-election,2014 Newark by-election,2014 Newark by-election,5 Jun 2014,2014-06-05
4–5 Jun,YouGov/The Sun,2107,31%,37%,8%,15%,5%,4%,6%,4–5 Jun 2014,2014-06-05
3–5 Jun,Opinium/The Observer[permanent dead link‍],1950,31%,35%,6%,19%,4%,5%,4%,3–5 Jun 2014,2014-06-05
3–4 Jun,YouGov/The Sun,1951,32%,37%,7%,13%,5%,5%,5%,3–4 Jun 2014,2014-06-04
2–3 Jun,YouGov/The Sun,1962,32%,36%,8%,14%,5%,4%,4%,2–3 Jun 2014,2014-06-03
1–2 Jun,YouGov/The Sun,1740,30%,36%,8%,17%,5%,4%,6%,1–2 Jun 2014,2014-06-02
30 May–1 Jun,Lord Ashcroft[16],1000,25%,34%,6%,19%,7%,8%,9%,30 May–1 Jun 2014,2014-06-01
30 May–1 Jun,Populus,2062,32%,37%,10%,13%,3%,5%,5%,30 May–1 Jun 2014,2014-06-01
29–30 May,YouGov/Sunday Times,2090,33%,36%,7%,15%,4%,5%,3%,29–30 May 2014,2014-05-30
28–29 May,Populus,2010,34%,35%,9%,14%,4%,4%,1%,28–29 May 2014,2014-05-29
28–29 May,YouGov/The Sun,2123,31%,38%,7%,16%,4%,5%,7%,28–29 May 2014,2014-05-29
27–28 May,YouGov/The Sun,2109,32%,36%,9%,14%,5%,5%,4%,27–28 May 2014,2014-05-28
26–27 May,YouGov/The Sun,2079,32%,34%,8%,15%,5%,5%,2%,26–27 May 2014,2014-05-27
23–26 May,Populus,2060,34%,36%,9%,14%,3%,4%,2%,23–26 May 2014,2014-05-26
23–25 May,Lord Ashcroft[16],1000,29%,31%,8%,17%,7%,10%,2%,23–25 May 2014,2014-05-25
22–26 May,2014 European Parliament election,2014 European Parliament election,2014 European Parliament election,2014 European Parliament election,2014 European Parliament election,2014 European Parliament election,2014 European Parliament election,2014 European Parliament election,2014 European Parliament election,22–26 May 2014,2014-05-26
23 May,Survation/Mail on Sunday,1017,27%,32%,9%,23%,3%,6%,5%,23 May 2014,2014-05-23
22–23 May,YouGov/Sunday Times,1898,34%,35%,9%,13%,5%,5%,1%,22–23 May 2014,2014-05-23
20–23 May,Opinium/The Observer,1968,32%,33%,7%,19%,4%,5%,1%,20–23 May 2014,2014-05-23
22 May,2014 United Kingdom local elections,2014 United Kingdom local elections,2014 United Kingdom local elections,2014 United Kingdom local elections,2014 United Kingdom local elections,2014 United Kingdom local elections,2014 United Kingdom local elections,2014 United Kingdom local elections,2014 United Kingdom local elections,22 May 2014,2014-05-22
21–22 May,Populus,2045,34%,36%,9%,14%,3%,4%,2%,21–22 May 2014,2014-05-22
21–22 May,YouGov/The Sun,1922,34%,34%,9%,14%,5%,4%,Tie,21–22 May 2014,2014-05-22
20–21 May,"YouGov/The Times, The Sun",6124,33%,36%,9%,13%,4%,5%,3%,20–21 May 2014,2014-05-21
19–20 May,Survation/Daily Mirror,1106,28%,34%,9%,20%,3%,6%,6%,19–20 May 2014,2014-05-20
19–20 May,YouGov/The Sun,1874,33%,35%,11%,13%,3%,5%,2%,19–20 May 2014,2014-05-20
18–19 May,YouGov/The Sun,1740,33%,37%,9%,11%,6%,4%,4%,18–19 May 2014,2014-05-19
16–18 May,ComRes/Independent[permanent dead link‍],1008,30%,35%,8%,14%,5%,8%,5%,16–18 May 2014,2014-05-18
16–18 May,Lord Ashcroft[16],1006,29%,35%,9%,14%,5%,7%,6%,16–18 May 2014,2014-05-18
16–18 May,Populus,2026,35%,34%,8%,14%,3%,6%,1%,16–18 May 2014,2014-05-18
15–16 May,YouGov/Sunday Times,1892,34%,37%,9%,13%,4%,3%,3%,15–16 May 2014,2014-05-16
14–15 May,"ComRes/Independent on Sunday, Sunday Mirror[permanent dead link‍]",2045,29%,33%,8%,19%,4%,7%,4%,14–15 May 2014,2014-05-15
14–15 May,YouGov/The Sun,2083,34%,36%,8%,13%,4%,5%,2%,14–15 May 2014,2014-05-15
14–15 May,Populus,2043,32%,36%,10%,13%,3%,6%,4%,14–15 May 2014,2014-05-15
13–14 May,YouGov/The Sun,1968,32%,35%,10%,13%,4%,5%,3%,13–14 May 2014,2014-05-14
12–13 May,YouGov/The Sun,1977,34%,34%,8%,15%,3%,5%,Tie,12–13 May 2014,2014-05-13
11–12 May,YouGov/The Sun,1680,35%,36%,9%,14%,3%,5%,1%,11–12 May 2014,2014-05-12
10–12 May,Ipsos MORI/Evening Standard,1003,31%,34%,9%,11%,8%,7%,3%,10–12 May 2014,2014-05-12
9–11 May,ICM/The Guardian[15],1000,33%,31%,13%,15%,4%,5%,2%,9–11 May 2014,2014-05-11
9–11 May,Lord Ashcroft[16],1001,34%,32%,9%,15%,5%,6%,2%,9–11 May 2014,2014-05-11
9–11 May,Populus,2056,35%,36%,8%,13%,3%,5%,1%,9–11 May 2014,2014-05-11
9 May,Survation/Mail on Sunday,1005,28%,33%,10%,20%,3%,6%,5%,9 May 2014,2014-05-09
8–9 May,YouGov/Sunday Times,1905,31%,38%,9%,13%,4%,5%,7%,8–9 May 2014,2014-05-09
7–8 May,Populus,2006,32%,36%,8%,16%,4%,5%,4%,7–8 May 2014,2014-05-08
7–8 May,YouGov/The Sun,1875,34%,35%,8%,13%,4%,6%,1%,7–8 May 2014,2014-05-08
6–8 May,Opinium/The Observer,1997,29%,33%,9%,20%,4%,5%,4%,6–8 May 2014,2014-05-08
6–7 May,YouGov/The Sun,1858,34%,37%,8%,13%,3%,5%,3%,6–7 May 2014,2014-05-07
5–6 May,YouGov/The Sun,1933,34%,35%,9%,14%,3%,5%,1%,5–6 May 2014,2014-05-06
2–5 May,Populus,2034,33%,36%,8%,14%,4%,5%,3%,2–5 May 2014,2014-05-05
2–3 May,Survation/Daily Mirror,1005,33%,34%,8%,18%,4%,3%,1%,2–3 May 2014,2014-05-03
1–2 May,YouGov/Sunday Times,1945,33%,36%,9%,15%,4%,3%,3%,1–2 May 2014,2014-05-02
30 Apr–1 May,YouGov/The Sun on Sunday,1844,33%,36%,10%,15%,2%,4%,3%,30 Apr–1 May 2014,2014-05-01
30 Apr–1 May,Populus,2060,34%,35%,9%,14%,3%,5%,1%,30 Apr–1 May 2014,2014-05-01
30 Apr–1 May,YouGov/The Sun,1813,33%,36%,10%,14%,3%,4%,3%,30 Apr–1 May 2014,2014-05-01
2 Apr–1 May,Populus/Financial Times,18448,34%,36%,10%,13%,3%,4%,2%,2 Apr–1 May 2014,2014-05-01
29–30 Apr,YouGov/The Sun,1898,31%,37%,9%,15%,3%,5%,6%,29–30 Apr 2014,2014-04-30
28–29 Apr,YouGov/The Sun,1804,32%,37%,9%,14%,3%,5%,5%,28–29 Apr 2014,2014-04-29
27–28 Apr,YouGov/The Sun,1629,32%,37%,10%,15%,2%,4%,5%,27–28 Apr 2014,2014-04-28
25–27 Apr,Populus,2052,32%,35%,10%,15%,3%,5%,3%,25–27 Apr 2014,2014-04-27
24–25 Apr,YouGov/Sunday Times,1835,31%,36%,9%,15%,4%,5%,5%,24–25 Apr 2014,2014-04-25
22–25 Apr,Opinium/The Observer,1965,32%,34%,7%,18%,3%,6%,2%,22–25 Apr 2014,2014-04-25
23–24 Apr,Populus,2055,35%,35%,9%,13%,3%,5%,Tie,23–24 Apr 2014,2014-04-24
23–24 Apr,YouGov/The Sun,2072,32%,38%,8%,14%,4%,4%,6%,23–24 Apr 2014,2014-04-24
22–23 Apr,YouGov/The Sun,2143,32%,37%,10%,15%,2%,4%,5%,22–23 Apr 2014,2014-04-23
21–22 Apr,YouGov/The Sun,2190,34%,37%,10%,12%,2%,5%,3%,21–22 Apr 2014,2014-04-22
17–21 Apr,Populus,2049,33%,36%,10%,13%,3%,4%,3%,17–21 Apr 2014,2014-04-21
16–17 Apr,YouGov/The Sun,1884,33%,35%,11%,15%,2%,4%,2%,16–17 Apr 2014,2014-04-17
15–16 Apr,Populus,2069,34%,35%,9%,14%,3%,5%,1%,15–16 Apr 2014,2014-04-16
15–16 Apr,YouGov/The Sun,2166,33%,39%,9%,11%,3%,5%,6%,15–16 Apr 2014,2014-04-16
14–15 Apr,YouGov/The Sun,2162,34%,37%,10%,13%,2%,4%,3%,14–15 Apr 2014,2014-04-15
13–14 Apr,YouGov/The Sun,1541,33%,38%,9%,12%,3%,5%,5%,13–14 Apr 2014,2014-04-14
11–13 Apr,ComRes/The Independent[permanent dead link‍],1000,30%,36%,9%,12%,4%,9%,6%,11–13 Apr 2014,2014-04-13
11–13 Apr,ICM/The Guardian[15],1000,32%,37%,12%,11%,2%,6%,5%,11–13 Apr 2014,2014-04-13
11–13 Apr,Populus,2011,33%,35%,11%,13%,2%,6%,2%,11–13 Apr 2014,2014-04-13
10–11 Apr,YouGov/Sunday Times,2036,32%,38%,8%,14%,2%,6%,6%,10–11 Apr 2014,2014-04-11
9–10 Apr,"ComRes/Independent on Sunday, Sunday Mirror[permanent dead link‍]",2003,29%,35%,7%,20%,4%,5%,6%,9–10 Apr 2014,2014-04-10
9–10 Apr,Populus,2051,34%,35%,11%,12%,2%,6%,1%,9–10 Apr 2014,2014-04-10
9–10 Apr,YouGov/The Sun,2111,32%,38%,8%,14%,2%,5%,6%,9–10 Apr 2014,2014-04-10
8–10 Apr,Opinium/The Observer,1972,30%,36%,7%,18%,3%,6%,6%,8–10 Apr 2014,2014-04-10
8–9 Apr,YouGov/The Sun,2061,33%,36%,10%,14%,2%,5%,3%,8–9 Apr 2014,2014-04-09
7–8 Apr,YouGov/The Sun,2144,33%,37%,10%,13%,2%,4%,4%,7–8 Apr 2014,2014-04-08
6–7 Apr,YouGov/The Sun,1748,33%,36%,10%,14%,2%,5%,3%,6–7 Apr 2014,2014-04-07
5–7 Apr,Ipsos MORI/Evening Standard,1002,31%,37%,9%,15%,3%,4%,6%,5–7 Apr 2014,2014-04-07
4–6 Apr,Populus,2034,34%,37%,9%,14%,3%,4%,3%,4–6 Apr 2014,2014-04-06
4 Apr,Survation/Mail on Sunday,1001,29%,36%,10%,20%,2%,4%,7%,4 Apr 2014,2014-04-04
3–4 Apr,YouGov/Sunday Times,1998,34%,39%,9%,12%,2%,4%,5%,3–4 Apr 2014,2014-04-04
2–3 Apr,Populus,2067,33%,37%,10%,13%,2%,5%,4%,2–3 Apr 2014,2014-04-03
2–3 Apr,YouGov/The Sun,2076,32%,38%,10%,13%,3%,4%,6%,2–3 Apr 2014,2014-04-03
1–2 Apr,YouGov/The Sun,2148,32%,38%,10%,13%,2%,5%,6%,1–2 Apr 2014,2014-04-02
31 Mar–1 Apr,YouGov/The Sun,1981,33%,37%,10%,12%,2%,6%,4%,31 Mar–1 Apr 2014,2014-04-01
30–31 Mar,YouGov/The Sun,1696,34%,37%,11%,13%,2%,5%,3%,30–31 Mar 2014,2014-03-31
28–30 Mar,Populus,2008,34%,37%,10%,11%,3%,5%,3%,28–30 Mar 2014,2014-03-30
5–30 Mar,Populus/Financial Times,16424,34%,37%,9%,12%,3%,5%,3%,5–30 Mar 2014,2014-03-30
27–28 Mar,YouGov/Sunday Times,1916,33%,40%,9%,11%,2%,5%,7%,27–28 Mar 2014,2014-03-28
27–28 Mar,Populus,2066,35%,37%,8%,12%,3%,5%,2%,27–28 Mar 2014,2014-03-28
25–28 Mar,Opinium/The Observer,1936,32%,33%,10%,15%,3%,7%,1%,25–28 Mar 2014,2014-03-28
26–27 Mar,YouGov/The Sun,2039,35%,36%,10%,11%,3%,4%,1%,26–27 Mar 2014,2014-03-27
25–26 Mar,YouGov/The Sun,2070,35%,37%,9%,11%,2%,5%,2%,25–26 Mar 2014,2014-03-26
24–25 Mar,YouGov/The Sun,1958,35%,38%,10%,10%,2%,5%,3%,24–25 Mar 2014,2014-03-25
23–24 Mar,YouGov/The Sun,1558,36%,38%,10%,10%,2%,4%,2%,23–24 Mar 2014,2014-03-24
21–23 Mar,ComRes/Independent[permanent dead link‍],1024,31%,36%,9%,11%,5%,8%,5%,21–23 Mar 2014,2014-03-23
21–23 Mar,Populus,2039,34%,35%,10%,13%,2%,6%,1%,21–23 Mar 2014,2014-03-23
20–21 Mar,YouGov/Sunday Times,2103,36%,37%,9%,11%,2%,5%,1%,20–21 Mar 2014,2014-03-21
20–21 Mar,Survation/Mail on Sunday,1000,34%,35%,9%,15%,2%,5%,1%,20–21 Mar 2014,2014-03-21
19–20 Mar,Populus,2122,34%,38%,9%,12%,2%,5%,4%,19–20 Mar 2014,2014-03-20
19–20 Mar,YouGov/The Sun,1904,34%,39%,10%,10%,2%,5%,5%,19–20 Mar 2014,2014-03-20
18–19 Mar,YouGov/The Sun,2088,33%,38%,11%,11%,3%,4%,5%,18–19 Mar 2014,2014-03-19
17–18 Mar,YouGov/The Sun,2284,34%,38%,11%,11%,3%,4%,4%,17–18 Mar 2014,2014-03-18
16–17 Mar,YouGov/The Sun,1919,32%,40%,9%,11%,3%,4%,8%,16–17 Mar 2014,2014-03-17
14–16 Mar,Populus,2053,32%,36%,10%,13%,3%,6%,4%,14–16 Mar 2014,2014-03-16
13–14 Mar,YouGov/Sunday Times,1946,33%,40%,8%,12%,2%,4%,7%,13–14 Mar 2014,2014-03-14
12–13 Mar,ComRes/Independent on Sunday/Sunday Mirror[permanent dead link‍],2001,32%,35%,9%,16%,3%,5%,3%,12–13 Mar 2014,2014-03-13
12–13 Mar,Populus,2053,34%,35%,10%,13%,2%,6%,1%,12–13 Mar 2014,2014-03-13
12–13 Mar,YouGov/The Sun,2098,33%,38%,11%,10%,2%,6%,5%,12–13 Mar 2014,2014-03-13
11–12 Mar,Opinium/The Observer,1971,30%,35%,10%,16%,3%,6%,5%,11–12 Mar 2014,2014-03-12
11–12 Mar,YouGov/The Sun,2095,35%,37%,9%,13%,2%,4%,2%,11–12 Mar 2014,2014-03-12
8–12 Mar,Ipsos MORI/Evening Standard,1000,32%,35%,13%,11%,5%,4%,3%,8–12 Mar 2014,2014-03-12
10–11 Mar,YouGov/The Sun,2040,34%,38%,10%,12%,2%,4%,4%,10–11 Mar 2014,2014-03-11
7–11 Mar,ICM/The Guardian[15],1003,35%,38%,12%,9%,3%,3%,3%,7–11 Mar 2014,2014-03-11
9–10 Mar,YouGov/The Sun,3195,32%,39%,8%,13%,3%,5%,7%,9–10 Mar 2014,2014-03-10
7–9 Mar,Populus,2058,34%,38%,9%,12%,3%,4%,4%,7–9 Mar 2014,2014-03-09
6–7 Mar,YouGov/Sunday Times,2029,32%,39%,10%,14%,2%,3%,7%,6–7 Mar 2014,2014-03-07
5–6 Mar,Populus,2025,34%,37%,9%,12%,3%,5%,3%,5–6 Mar 2014,2014-03-06
5–6 Mar,YouGov/The Sun,1833,31%,40%,9%,13%,3%,4%,9%,5–6 Mar 2014,2014-03-06
4–5 Mar,YouGov/The Sun,1868,34%,37%,10%,11%,3%,5%,3%,4–5 Mar 2014,2014-03-05
3–4 Mar,YouGov/The Sun,2041,34%,38%,9%,13%,2%,4%,4%,3–4 Mar 2014,2014-03-04
2–3 Mar,YouGov/The Sun,1868,32%,41%,8%,12%,1%,6%,9%,2–3 Mar 2014,2014-03-03
28 Feb–2 Mar,ComRes/Independent[permanent dead link‍],1004,30%,38%,10%,11%,4%,7%,8%,28 Feb–2 Mar 2014,2014-03-02
28 Feb–2 Mar,Populus,2055,34%,37%,10%,12%,3%,4%,3%,28 Feb–2 Mar 2014,2014-03-02
27–28 Feb,YouGov/Sunday Times,2098,33%,38%,9%,13%,2%,5%,5%,27–28 Feb 2014,2014-02-28
25–28 Feb,Opinium/The Observer,1946,29%,34%,10%,19%,3%,5%,5%,25–28 Feb 2014,2014-02-28
26–27 Feb,Populus,1131,33%,38%,9%,13%,3%,5%,5%,26–27 Feb 2014,2014-02-27
5–27 Feb,Populus/Financial Times,14203,33%,37%,10%,14%,3%,3%,4%,5–27 Feb 2014,2014-02-27
26–27 Feb,YouGov/The Sun,1868,34%,39%,8%,12%,3%,4%,5%,26–27 Feb 2014,2014-02-27
25–26 Feb,YouGov/The Sun,2062,34%,40%,10%,11%,3%,4%,6%,25–26 Feb 2014,2014-02-26
24–25 Feb,YouGov/The Sun,1936,33%,39%,10%,11%,3%,4%,6%,24–25 Feb 2014,2014-02-25
23–24 Feb,YouGov/The Sun,1773,33%,38%,10%,13%,2%,5%,5%,23–24 Feb 2014,2014-02-24
21–23 Feb,Populus,2052,32%,37%,10%,15%,2%,4%,5%,21–23 Feb 2014,2014-02-23
20–21 Feb,YouGov/Sunday Times,2141,32%,39%,8%,12%,2%,6%,7%,20–21 Feb 2014,2014-02-21
19–20 Feb,Populus,2066,32%,38%,9%,13%,3%,5%,6%,19–20 Feb 2014,2014-02-20
19–20 Feb,YouGov/The Sun,1756,34%,39%,9%,12%,2%,4%,5%,19–20 Feb 2014,2014-02-20
18–19 Feb,YouGov/The Sun,1766,33%,37%,10%,12%,3%,5%,4%,18–19 Feb 2014,2014-02-19
17–18 Feb,YouGov/The Sun,1758,33%,40%,8%,12%,3%,4%,7%,17–18 Feb 2014,2014-02-18
16–17 Feb,YouGov/The Sun,1645,33%,40%,9%,11%,2%,5%,7%,16–17 Feb 2014,2014-02-17
14–16 Feb,Populus,2031,33%,38%,10%,13%,3%,3%,5%,14–16 Feb 2014,2014-02-16
13–14 Feb,YouGov/Sunday Times,1868,32%,39%,9%,12%,3%,6%,7%,13–14 Feb 2014,2014-02-14
11–14 Feb,Opinium/The Observer,1969,28%,37%,8%,17%,2%,8%,9%,11–14 Feb 2014,2014-02-14
13 Feb,2014 Wythenshawe and Sale East by-election,2014 Wythenshawe and Sale East by-election,2014 Wythenshawe and Sale East by-election,2014 Wythenshawe and Sale East by-election,2014 Wythenshawe and Sale East by-election,2014 Wythenshawe and Sale East by-election,2014 Wythenshawe and Sale East by-election,2014 Wythenshawe and Sale East by-election,2014 Wythenshawe and Sale East by-election,13 Feb 2014,2014-02-13
12–13 Feb,Populus,2015,32%,38%,9%,14%,3%,4%,6%,12–13 Feb 2014,2014-02-13
12–13 Feb,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],2031,32%,37%,9%,15%,2%,5%,5%,12–13 Feb 2014,2014-02-13
12–13 Feb,YouGov/The Sun,1896,33%,39%,9%,12%,2%,5%,6%,12–13 Feb 2014,2014-02-13
11–12 Feb,YouGov/The Sun,1826,32%,39%,8%,13%,2%,6%,7%,11–12 Feb 2014,2014-02-12
10–11 Feb,YouGov/The Sun,1899,34%,39%,10%,11%,2%,4%,5%,10–11 Feb 2014,2014-02-11
9–10 Feb,YouGov/The Sun,1685,33%,39%,10%,12%,2%,4%,6%,9–10 Feb 2014,2014-02-10
7–9 Feb,ICM/The Guardian[15],1002,34%,38%,10%,11%,3%,5%,4%,7–9 Feb 2014,2014-02-09
7–9 Feb,Populus,2013,34%,36%,11%,12%,3%,4%,2%,7–9 Feb 2014,2014-02-09
6–7 Feb,YouGov/Sunday Times,1521,35%,39%,10%,10%,3%,3%,4%,6–7 Feb 2014,2014-02-07
5–6 Feb,Populus,2015,33%,36%,9%,15%,2%,5%,3%,5–6 Feb 2014,2014-02-06
5–6 Feb,YouGov/The Sun,1911,32%,38%,10%,14%,2%,4%,6%,5–6 Feb 2014,2014-02-06
4–5 Feb,YouGov/The Sun,1902,35%,39%,9%,10%,2%,4%,4%,4–5 Feb 2014,2014-02-05
3–4 Feb,YouGov/The Sun,1942,33%,39%,8%,13%,3%,4%,6%,3–4 Feb 2014,2014-02-04
2–3 Feb,YouGov/The Sun,1741,33%,38%,11%,11%,1%,6%,5%,2–3 Feb 2014,2014-02-03
1–3 Feb,Ipsos MORI/Evening Standard,1012,31%,38%,12%,10%,3%,6%,7%,1–3 Feb 2014,2014-02-03
31 Jan–2 Feb,Populus,2043,32%,41%,11%,9%,3%,4%,9%,31 Jan–2 Feb 2014,2014-02-02
30–31 Jan,YouGov/Sunday Times,1885,34%,39%,8%,11%,3%,5%,5%,30–31 Jan 2014,2014-01-31
28–31 Jan,Opinium/The Observer,1972,29%,36%,8%,17%,3%,6%,7%,28–31 Jan 2014,2014-01-31
29–30 Jan,Populus,2044,32%,39%,11%,10%,3%,4%,7%,29–30 Jan 2014,2014-01-30
29–30 Jan,YouGov/The Sun,1942,32%,42%,8%,12%,2%,4%,10%,29–30 Jan 2014,2014-01-30
28–29 Jan,YouGov/The Sun,1884,35%,38%,10%,11%,2%,4%,3%,28–29 Jan 2014,2014-01-29
27–28 Jan,YouGov/The Sun,1814,34%,37%,9%,12%,3%,5%,3%,27–28 Jan 2014,2014-01-28
26–27 Jan,YouGov/The Sun,1381,35%,37%,9%,13%,2%,5%,2%,26–27 Jan 2014,2014-01-27
24–26 Jan,ComRes/Independent,1002,32%,33%,9%,14%,5%,7%,1%,24–26 Jan 2014,2014-01-26
24–26 Jan,Populus,2052,33%,40%,11%,8%,3%,5%,7%,24–26 Jan 2014,2014-01-26
23–24 Jan,YouGov/Sunday Times,1859,32%,39%,9%,13%,2%,5%,7%,23–24 Jan 2014,2014-01-24
22–23 Jan,Populus,2051,32%,40%,11%,9%,3%,5%,8%,22–23 Jan 2014,2014-01-23
22–23 Jan,YouGov/The Sun,1840,35%,38%,8%,12%,2%,5%,3%,22–23 Jan 2014,2014-01-23
21–22 Jan,YouGov/The Sun,1843,32%,40%,8%,12%,3%,5%,8%,21–22 Jan 2014,2014-01-22
20–21 Jan,YouGov/The Sun,1961,34%,38%,9%,13%,3%,3%,4%,20–21 Jan 2014,2014-01-21
19–20 Jan,YouGov/The Sun,1682,32%,40%,11%,12%,2%,3%,8%,19–20 Jan 2014,2014-01-20
7–20 Jan,Lord Ashcroft,20058,30%,38%,8%,16%,3%,5%,8%,7–20 Jan 2014,2014-01-20
17–19 Jan,Populus,2027,32%,39%,12%,9%,3%,5%,7%,17–19 Jan 2014,2014-01-19
16–17 Jan,YouGov/Sunday Times,1957,33%,39%,8%,13%,2%,5%,6%,16–17 Jan 2014,2014-01-17
15–16 Jan,ComRes/Sunday Mirror/Independent[permanent dead link‍],2029,30%,35%,8%,19%,3%,5%,5%,15–16 Jan 2014,2014-01-16
15–16 Jan,Populus,2039,33%,40%,13%,9%,2%,3%,7%,15–16 Jan 2014,2014-01-16
15–16 Jan,YouGov/The Sun,1981,32%,39%,10%,12%,2%,5%,7%,15–16 Jan 2014,2014-01-16
14–16 Jan,Opinium/The Observer,1930,30%,36%,8%,17%,3%,6%,6%,14–16 Jan 2014,2014-01-16
14–15 Jan,Survation/Sky News,1005,30%,34%,12%,18%,2%,4%,4%,14–15 Jan 2014,2014-01-15
14–15 Jan,YouGov/The Sun,1893,33%,39%,10%,12%,2%,4%,6%,14–15 Jan 2014,2014-01-15
13–14 Jan,YouGov/The Sun,2000,34%,37%,9%,13%,2%,5%,3%,13–14 Jan 2014,2014-01-14
11–14 Jan,Ipsos MORI/Evening Standard,1035,30%,39%,13%,11%,3%,4%,9%,11–14 Jan 2014,2014-01-14
12–13 Jan,YouGov/The Sun,1762,33%,38%,11%,12%,2%,4%,5%,12–13 Jan 2014,2014-01-13
10–12 Jan,ICM/The Guardian[15],1005,32%,35%,14%,10%,3%,6%,3%,10–12 Jan 2014,2014-01-12
10–11 Jan,Populus,2079,33%,38%,12%,9%,3%,5%,5%,10–11 Jan 2014,2014-01-11
9–10 Jan,YouGov/Sunday Times,1904,31%,40%,9%,14%,2%,4%,9%,9–10 Jan 2014,2014-01-10
8–9 Jan,Populus,2012,33%,40%,11%,8%,3%,5%,7%,8–9 Jan 2014,2014-01-09
8–9 Jan,YouGov/The Sun,1887,32%,38%,9%,13%,2%,6%,6%,8–9 Jan 2014,2014-01-09
7–8 Jan,YouGov/The Sun,1958,32%,38%,9%,13%,3%,5%,6%,7–8 Jan 2014,2014-01-08
6–7 Jan,YouGov/The Sun,1972,32%,37%,10%,14%,3%,4%,5%,6–7 Jan 2014,2014-01-07
5–6 Jan,YouGov/The Sun,1729,32%,40%,9%,12%,2%,5%,8%,5–6 Jan 2014,2014-01-06
3 Jan,Survation/Mail on Sunday,1001,31%,35%,11%,16%,2%,5%,4%,3 Jan 2014,2014-01-03
30 Dec–2 Jan,Opinium/The Observer,1939,30%,37%,8%,17%,3%,5%,7%,30 Dec–2 Jan 2014,2014-01-02
Date(s) conducted,Polling organisation/client,Sample size,,,,,,Others,Lead,Date(s) conducted 2013,
