Dates conducted,Pollster,Client,Con,Lab,Lib,Lead,date_year_appended,SDP,SLD,end_date
18 Jun,NOP,The Independent,37%,48%,8%,11%,18 Jun 1990,–,,1990-06-18
18 Jun,MORI,The Sunday Times,38%,49%,8%,11%,18 Jun 1990,–,,1990-06-18
9 Jun,ICM,The Guardian,35%,54%,5%,19%,9 Jun 1990,–,,1990-06-09
8 Jun,NMR,The Independent on Sunday,36%,49%,9%,13%,8 Jun 1990,–,,1990-06-08
4 Jun,Gallup,The Daily Telegraph,29.5%,53%,7.5%,23.5%,4 Jun 1990,2.5%,,1990-06-04
28 May,Audience Selection,,37%,47%,5%,10%,28 May 1990,3%,,1990-05-28
26 May,ICM,The Sunday Correspondent,36%,50%,5%,14%,26 May 1990,1%,,1990-05-26
24 May,Harris,The Observer,32%,50%,9%,18%,24 May 1990,1%,,1990-05-24
24 May,Bootle by-election,Bootle by-election,Bootle by-election,Bootle by-election,Bootle by-election,Bootle by-election,24 May 1990,Bootle by-election,,1990-05-24
21 May,NOP,The Independent,34%,49%,8%,15%,21 May 1990,2%,,1990-05-21
21 May,MORI,The Sunday Times,35%,48%,8%,13%,21 May 1990,4%,,1990-05-21
17 May,Upper Bann by-election,Upper Bann by-election,Upper Bann by-election,Upper Bann by-election,Upper Bann by-election,Upper Bann by-election,17 May 1990,Upper Bann by-election,,1990-05-17
12 May,ICM,The Guardian,32%,50%,8%,18%,12 May 1990,4%,,1990-05-12
4 May,NOP,The Mail on Sunday,34%,47%,8%,13%,4 May 1990,3%,,1990-05-04
3 May,1990 local elections[8],1990 local elections[8],1990 local elections[8],1990 local elections[8],1990 local elections[8],1990 local elections[8],3 May 1990,1990 local elections[8],,1990-05-03
30 Apr,Audience Selection,,32%,49%,6%,17%,30 Apr 1990,4%,,1990-04-30
30 Apr,Gallup,The Daily Telegraph,32%,47%,7.5%,15%,30 Apr 1990,4%,,1990-04-30
28 Apr,NOP,The Independent on Sunday,31%,51%,7%,20%,28 Apr 1990,3%,,1990-04-28
28 Apr,ICM,The Sunday Correspondent,30%,53%,8%,23%,28 Apr 1990,2%,,1990-04-28
24 Apr,MORI,The Sunday Times,31%,54%,6%,23%,24 Apr 1990,3%,,1990-04-24
22 Apr,NOP,The Independent,29%,54%,7%,25%,22 Apr 1990,3%,,1990-04-22
19 Apr,Harris,The Observer,32%,54%,7%,22%,19 Apr 1990,1%,,1990-04-19
7 Apr,NMR,The Independent on Sunday,30%,54%,5%,24%,7 Apr 1990,4%,,1990-04-07
7 Apr,ICM,The Guardian,32%,56%,4%,24%,7 Apr 1990,2%,,1990-04-07
6 Apr,ICM,,32%,54%,5%,22%,6 Apr 1990,2%,,1990-04-06
2 Apr,Gallup,The Daily Telegraph,28%,52.5%,7.5%,24.5%,2 Apr 1990,3.5%,,1990-04-02
26 Mar,Audience Selection,,30%,51%,6%,21%,26 Mar 1990,3%,,1990-03-26
24 Mar,NOP,The Independent on Sunday,33%,52%,6%,19%,24 Mar 1990,3%,,1990-03-24
23 Mar,ICM,,28%,55%,7%,27%,23 Mar 1990,2%,,1990-03-23
22 Mar,Harris,The Observer,29%,57%,6%,28%,22 Mar 1990,3%,,1990-03-22
22 Mar,Mid Staffordshire by-election,Mid Staffordshire by-election,Mid Staffordshire by-election,Mid Staffordshire by-election,Mid Staffordshire by-election,Mid Staffordshire by-election,22 Mar 1990,Mid Staffordshire by-election,,1990-03-22
20 Mar,MORI,The Sunday Times,31%,54%,6%,23%,20 Mar 1990,2%,,1990-03-20
12 Mar,NOP,The Independent,33%,51%,6%,18%,12 Mar 1990,3%,,1990-03-12
10 Mar,ICM,The Guardian,31%,52%,5%,21%,10 Mar 1990,4%,,1990-03-10
26 Feb,Gallup,The Daily Telegraph,31%,49.5%,7%,18.5%,26 Feb 1990,3.5%,,1990-02-26
26 Feb,Audience Selection,,34%,46%,7%,12%,26 Feb 1990,3%,,1990-02-26
24 Feb,ICM,,33%,52%,6%,19%,24 Feb 1990,3%,,1990-02-24
22 Feb,Harris,The Observer,36%,48%,8%,12%,22 Feb 1990,2%,,1990-02-22
19 Feb,MORI,The Sunday Times,34%,51%,5%,17%,19 Feb 1990,4%,,1990-02-19
12 Feb,NOP,The Independent,36%,48%,6%,12%,12 Feb 1990,3%,,1990-02-12
10 Feb,ICM,The Guardian,36%,51%,5%,15%,10 Feb 1990,3%,,1990-02-10
29 Jan,Gallup,The Daily Telegraph,32.5%,48%,8%,15.5%,29 Jan 1990,3%,,1990-01-29
29 Jan,Audience Selection,,38%,47%,5%,9%,29 Jan 1990,4%,,1990-01-29
27 Jan,ICM,,37%,48%,4%,11%,27 Jan 1990,3%,,1990-01-27
25 Jan,Harris,The Observer,36%,49%,6%,13%,25 Jan 1990,2%,,1990-01-25
22 Jan,MORI,The Sunday Times,36%,48%,5%,12%,22 Jan 1990,3%,,1990-01-22
18 Jan,Harris,The Observer,37%,48%,6%,11%,18 Jan 1990,3%,,1990-01-18
15 Jan,NOP,The Independent,40%,44%,7%,4%,15 Jan 1990,–,,1990-01-15
13 Jan,ICM,The Guardian,38%,47%,5%,9%,13 Jan 1990,3%,,1990-01-13
8 Jan,Gallup,The Daily Telegraph,35%,45.5%,7.5%,10.5%,8 Jan 1990,3.5%,,1990-01-08
Survey end date,Pollster,Client,,,,Lead,Survey end date 1989,,,
28 Dec,MORI,The Sunday Times,39%,46%,6%,7%,28 Dec 1989,3%,,1989-12-28
18 Dec,Audience Selection,,40%,42%,6%,2%,18 Dec 1989,4%,,1989-12-18
17 Dec,ICM,The Sunday Correspondent,38%,49%,4%,11%,17 Dec 1989,3%,,1989-12-17
14 Dec,Harris,The Observer,39%,46%,6%,7%,14 Dec 1989,1%,,1989-12-14
8 Dec,ICM,The Guardian,37%,49%,4%,12%,8 Dec 1989,3%,,1989-12-08
4 Dec,NOP,,38%,45%,7%,7%,4 Dec 1989,–,,1989-12-04
4 Dec,Gallup,The Daily Telegraph,37.5%,43.5%,9%,6%,4 Dec 1989,3%,,1989-12-04
27 Nov,MORI,,42%,46%,5%,4%,27 Nov 1989,3%,,1989-11-27
27 Nov,Audience Selection,,37%,44%,4%,7%,27 Nov 1989,3%,,1989-11-27
26 Nov,MORI,The Sunday Times,37%,51%,4%,14%,26 Nov 1989,3%,,1989-11-26
25 Nov,ICM,The Sunday Correspondent,38%,48%,3%,10%,25 Nov 1989,4%,,1989-11-25
23 Nov,Harris,The Observer,36%,47%,9%,11%,23 Nov 1989,1%,,1989-11-23
13 Nov,NOP,,34%,46%,9%,12%,13 Nov 1989,–,,1989-11-13
11 Nov,ICM,The Guardian,36%,49%,6%,13%,11 Nov 1989,3%,,1989-11-11
31 Oct,Harris,BBC,37%,50%,6%,13%,31 Oct 1989,2%,,1989-10-31
30 Oct,Audience Selection,,33%,50%,4%,17%,30 Oct 1989,2%,,1989-10-30
30 Oct,Gallup,The Daily Telegraph,35%,44%,8%,9%,30 Oct 1989,2.5%,,1989-10-30
29 Oct,MORI,The Sunday Times,39%,46%,0%,7%,29 Oct 1989,–,,1989-10-29
28 Oct,NOP,The Mail on Sunday,41%,47%,6%,6%,28 Oct 1989,–,,1989-10-28
23 Oct,MORI,The Sunday Times,38%,48%,5%,10%,23 Oct 1989,3%,,1989-10-23
21 Oct,ICM,The Sunday Correspondent,35%,50%,4%,15%,21 Oct 1989,3%,,1989-10-21
19 Oct,Harris,The Observer,38%,48%,6%,10%,19 Oct 1989,1%,,1989-10-19
9 Oct,Gallup,The Daily Telegraph,38%,47.5%,4.5%,9.5%,9 Oct 1989,2.5%,,1989-10-09
7 Oct,ICM,The Guardian,39%,49%,4%,10%,7 Oct 1989,2%,,1989-10-07
5 Oct,Harris,The Observer,38%,49%,5%,11%,5 Oct 1989,2%,,1989-10-05
4 Oct,NOP,Evening Standard,37%,46%,5%,9%,4 Oct 1989,–,,1989-10-04
3 Oct,ICM,Press Association,37%,45%,4%,8%,3 Oct 1989,3%,,1989-10-03
3 Oct,Audience Selection,,37%,39%,6%,2%,3 Oct 1989,3%,,1989-10-03
2 Oct,Gallup,The Daily Telegraph,35%,41.5%,8.5%,6.5%,2 Oct 1989,5%,,1989-10-02
28 Sep,Harris,The Observer,38%,45%,5%,7%,28 Sep 1989,3%,,1989-09-28
26 Sep,MORI,The Sunday Times,38%,43%,6%,5%,26 Sep 1989,3%,,1989-09-26
25 Sep,Gallup,The Sunday Telegraph,36.5%,42%,7.5%,5.5%,25 Sep 1989,2%,,1989-09-25
25 Sep,NOP,The Mail on Sunday,34%,46%,7%,12%,25 Sep 1989,–,,1989-09-25
23 Sep,ICM,The Sunday Correspondent,39%,45%,4%,6%,23 Sep 1989,2%,,1989-09-23
20 Sep,Harris,The Observer,39%,42%,6%,3%,20 Sep 1989,3%,,1989-09-20
14 Sep,Harris,The Observer,37%,45%,6%,8%,14 Sep 1989,3%,,1989-09-14
9 Sep,ICM,The Guardian,36%,46%,7%,10%,9 Sep 1989,4%,,1989-09-09
4 Sep,Gallup,The Daily Telegraph,36.5%,43%,6.5%,6.5%,4 Sep 1989,3%,,1989-09-04
4 Sep,NOP,The Independent,38%,40%,8%,4%,4 Sep 1989,2%,,1989-09-04
28 Aug,Audience Selection,,37%,42%,5%,5%,28 Aug 1989,4%,,1989-08-28
26 Aug,ICM,The Sunday Correspondent,38%,46%,6%,8%,26 Aug 1989,3%,,1989-08-26
24 Aug,Harris,The Observer,37%,45%,7%,8%,24 Aug 1989,2%,,1989-08-24
21 Aug,NOP,,40%,41%,7%,1%,21 Aug 1989,1%,,1989-08-21
21 Aug,MORI,The Sunday Times,40%,45%,4%,5%,21 Aug 1989,3%,,1989-08-21
12 Aug,ICM,The Guardian,36%,44%,6%,8%,12 Aug 1989,3%,,1989-08-12
31 Jul,Audience Selection,,38%,41%,4%,3%,31 Jul 1989,5%,,1989-07-31
26 Jul,MORI,The Sunday Times,36%,45%,4%,9%,26 Jul 1989,4%,,1989-07-26
20 Jul,Harris,The Observer,37%,44%,6%,7%,20 Jul 1989,3%,,1989-07-20
10 Jul,NOP,,36%,42%,7%,6%,10 Jul 1989,2%,,1989-07-10
8 Jul,ICM,The Guardian,38%,42%,5%,4%,8 Jul 1989,4%,,1989-07-08
7 Jul,Gallup,The Daily Telegraph,34%,44.5%,5.5%,10.5%,7 Jul 1989,4.5%,,1989-07-07
3 Jul,Gallup,The Daily Telegraph,34%,47%,6%,13%,3 Jul 1989,3.5%,,1989-07-03
3 Jul,Audience Selection,,35%,43%,4%,8%,3 Jul 1989,3%,,1989-07-03
27 Jun,MORI,The Sunday Times,37%,47%,4%,10%,27 Jun 1989,3%,,1989-06-27
22 Jun,Harris,The Observer,34%,48%,6%,14%,22 Jun 1989,2%,,1989-06-22
15 Jun,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,Glasgow Central & Vauxhall by-elections,15 Jun 1989,Glasgow Central & Vauxhall by-elections,,1989-06-15
15 Jun,1989 European Parliament election[9],1989 European Parliament election[9],1989 European Parliament election[9],1989 European Parliament election[9],1989 European Parliament election[9],1989 European Parliament election[9],15 Jun 1989,1989 European Parliament election[9],,1989-06-15
12 Jun,NOP,,40%,42%,8%,2%,12 Jun 1989,4%,,1989-06-12
10 Jun,ICM,The Guardian,38%,42%,8%,4%,10 Jun 1989,4%,,1989-06-10
10 Jun,MORI,The Times,39%,44%,7%,5%,10 Jun 1989,4%,,1989-06-10
5 Jun,Gallup,The Daily Telegraph,36.5%,43.5%,8%,7%,5 Jun 1989,3%,,1989-06-05
29 May,Audience Selection,,41%,45%,6%,4%,29 May 1989,4%,,1989-05-29
23 May,Harris,The Observer,46%,41%,7%,5%,23 May 1989,2%,,1989-05-23
22 May,NOP,,42%,41%,8%,1%,22 May 1989,3%,,1989-05-22
22 May,MORI,The Sunday Times,41%,43%,7%,2%,22 May 1989,4%,,1989-05-22
17 May,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989 Northern Ireland local elections,1989 Northern Ireland local elections,17 May 1989,1989 Northern Ireland local elections,,1989-05-17
13 May,ICM,The Guardian,43%,43%,8%,Tie,13 May 1989,3%,,1989-05-13
4 May,Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],Vale of Glamorgan by-election[10],4 May 1989,Vale of Glamorgan by-election[10],,1989-05-04
4 May,1989 local elections[11],1989 local elections[11],1989 local elections[11],1989 local elections[11],1989 local elections[11],1989 local elections[11],4 May 1989,1989 local elections[11],,1989-05-04
1 May,Gallup,The Daily Telegraph,40.5%,37.5%,10%,3%,1 May 1989,7%,,1989-05-01
30 Apr,Audience Selection,,42%,38%,7%,4%,30 Apr 1989,9%,,1989-04-30
24 Apr,NOP,,43%,37%,9%,6%,24 Apr 1989,4%,,1989-04-24
24 Apr,MORI,The Sunday Times,41%,41%,9%,Tie,24 Apr 1989,6%,,1989-04-24
20 Apr,Harris,The Observer,42%,39%,11%,3%,20 Apr 1989,4%,,1989-04-20
8 Apr,ICM,The Guardian,44%,40%,7%,4%,8 Apr 1989,6%,,1989-04-08
3 Apr,Gallup,The Daily Telegraph,37.5%,40%,10%,2.5%,3 Apr 1989,8%,,1989-04-03
27 Mar,MORI,The Times,43%,39%,8%,4%,27 Mar 1989,6%,,1989-03-27
23 Mar,Harris,The Observer,41%,41%,9%,Tie,23 Mar 1989,3%,,1989-03-23
20 Mar,NOP,,42%,37%,0%,5%,20 Mar 1989,–,,1989-03-20
19 Mar,MORI,The Sunday Times,41%,40%,9%,1%,19 Mar 1989,6%,,1989-03-19
19 Mar,MORI,The Sunday Times,44%,40%,6%,4%,19 Mar 1989,6%,,1989-03-19
13 Mar,ICM,The Guardian,41%,39%,8%,2%,13 Mar 1989,7%,,1989-03-13
5 Mar,MORI,BBC,41%,37%,9%,4%,5 Mar 1989,4%,,1989-03-05
28 Feb,MORI,,42%,41%,8%,1%,28 Feb 1989,4%,,1989-02-28
28 Feb,MORI,The Sunday Times,42%,39%,9%,3%,28 Feb 1989,7%,,1989-02-28
27 Feb,Audience Selection,,44%,35%,7%,9%,27 Feb 1989,11%,,1989-02-27
27 Feb,Gallup,The Daily Telegraph,37.5%,37.5%,11.5%,Tie,27 Feb 1989,8.5%,,1989-02-27
23 Feb,Harris,The Observer,41%,42%,10%,1%,23 Feb 1989,3%,,1989-02-23
23 Feb,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,Pontypridd & Richmond by-elections,23 Feb 1989,Pontypridd & Richmond by-elections,,1989-02-23
20 Feb,NOP,,41%,37%,11%,4%,20 Feb 1989,4%,,1989-02-20
20 Feb,Gallup,The Sunday Telegraph,39%,39%,11%,Tie,20 Feb 1989,5%,,1989-02-20
13 Feb,Gallup,The Daily Telegraph,40.5%,39%,11.5%,1.5%,13 Feb 1989,4.5%,,1989-02-13
11 Feb,ICM,The Guardian,42%,39%,7%,3%,11 Feb 1989,7%,,1989-02-11
30 Jan,MORI,The Sunday Times,47%,36%,8%,11%,30 Jan 1989,5%,,1989-01-30
30 Jan,Audience Selection,,44%,39%,8%,5%,30 Jan 1989,5%,,1989-01-30
29 Jan,Harris,BBC,50%,37%,6%,13%,29 Jan 1989,–,,1989-01-29
23 Jan,NOP,,46%,34%,10%,12%,23 Jan 1989,3%,,1989-01-23
19 Jan,Harris,The Observer,47%,37%,10%,10%,19 Jan 1989,4%,,1989-01-19
16 Jan,Gallup,The Daily Telegraph,42.5%,34%,14%,8.5%,16 Jan 1989,5.5%,,1989-01-16
16 Jan,ICM,The Guardian,44%,40%,8%,4%,16 Jan 1989,4%,,1989-01-16
15 Jan,Harris/Channel 4,,44%,41%,10%,3%,15 Jan 1989,–,,1989-01-15
Survey end date,Pollster,Client,,,,Lead,Survey end date 1987,,,
31 Dec,Audience Selection,,45%,37%,,8%,31 Dec 1987,6%,8%,1987-12-31
29 Dec,MORI,The Sunday Times,46%,36%,,10%,29 Dec 1987,7%,6%,1987-12-29
15 Dec,Epping Forest by-election,Epping Forest by-election,Epping Forest by-election,Epping Forest by-election,,Epping Forest by-election,15 Dec 1987,Epping Forest by-election,Epping Forest by-election,1987-12-15
12 Dec,Gallup,The Daily Telegraph,43%,32%,,11%,12 Dec 1987,6.5%,13%,1987-12-12
6 Dec,Marplan,The Guardian,45%,39%,,6%,6 Dec 1987,4%,8%,1987-12-06
2 Dec,NOP,,41%,36%,,5%,2 Dec 1987,4%,11%,1987-12-02
30 Nov,MORI,The Sunday Times,45%,37%,,8%,30 Nov 1987,6%,8%,1987-11-30
30 Nov,MORI,,44%,39%,,5%,30 Nov 1987,6%,8%,1987-11-30
28 Nov,Audience Selection,,40%,39%,,1%,28 Nov 1987,6%,9%,1987-11-28
24 Nov,Harris,The Observer,44%,39%,,5%,24 Nov 1987,3%,9%,1987-11-24
14 Nov,Gallup,The Daily Telegraph,42.5%,36%,,6.5%,14 Nov 1987,4.5%,12.5%,1987-11-14
10 Nov,Glasgow Govan by-election,Glasgow Govan by-election,Glasgow Govan by-election,Glasgow Govan by-election,,Glasgow Govan by-election,10 Nov 1987,Glasgow Govan by-election,Glasgow Govan by-election,1987-11-10
7 Nov,NOP,,45%,36%,,9%,7 Nov 1987,4%,10%,1987-11-07
7 Nov,Marplan,The Guardian,42%,42%,,Tie,7 Nov 1987,5%,8%,1987-11-07
31 Oct,MORI,The Sunday Times,44%,39%,,5%,31 Oct 1987,6%,8%,1987-10-31
31 Oct,Audience Selection,,46%,35%,,11%,31 Oct 1987,6%,7%,1987-10-31
24 Oct,Gallup,The Daily Telegraph,45.5%,34%,,11.5%,24 Oct 1987,5%,12.5%,1987-10-24
20 Oct,Harris,The Observer,49%,40%,,9%,20 Oct 1987,2%,7%,1987-10-20
12 Oct,NOP,,46%,36%,,10%,12 Oct 1987,4%,9%,1987-10-12
11 Oct,Marplan,,45%,40%,,5%,11 Oct 1987,2%,8%,1987-10-11
11 Oct,Marplan,The Guardian,44%,40%,,4%,11 Oct 1987,5%,7%,1987-10-11
10 Oct,MORI,,46%,39%,,7%,10 Oct 1987,4%,8%,1987-10-10
29 Sep,Harris,TV-AM,48%,36%,,12%,29 Sep 1987,2%,11%,1987-09-29
26 Sep,MORI,The Sunday Times,44%,39%,,5%,26 Sep 1987,6%,8%,1987-09-26
22 Sep,Harris,The Observer,47%,38%,,9%,22 Sep 1987,5%,8%,1987-09-22
14 Sep,Marplan,The Guardian,44%,42%,,2%,14 Sep 1987,3%,9%,1987-09-14
14 Sep,NOP,,46%,38%,,8%,14 Sep 1987,3%,8%,1987-09-14
12 Sep,Audience Selection,,42%,40%,,2%,12 Sep 1987,6%,8%,1987-09-12
12 Sep,Gallup,The Daily Telegraph,43%,36.5%,,6.5%,12 Sep 1987,5%,12.5%,1987-09-12
22 Aug,MORI,The Sunday Times,50%,36%,,14%,22 Aug 1987,4%,8%,1987-08-22
15 Aug,Gallup,The Daily Telegraph,45.5%,33.5%,,12.5%,15 Aug 1987,6.5%,10.5%,1987-08-15
9 Aug,Marplan,The Guardian,45%,41%,,4%,9 Aug 1987,4%,7%,1987-08-09
29 Jul,Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],,Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],29 Jul 1987,Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],Paddy Ashdown is elected leader of the Social and Liberal Democrats[12][13],1987-07-29
25 Jul,NOP,,46%,36%,,10%,25 Jul 1987,4%,10%,1987-07-25
25 Jul,MORI,The Sunday Times,46%,41%,,5%,25 Jul 1987,4%,8%,1987-07-25
21 Jul,Harris,The Observer,46%,41%,,5%,21 Jul 1987,3%,9%,1987-07-21
18 Jul,Gallup,The Daily Telegraph,41.5%,39%,,2.5%,18 Jul 1987,7%,9%,1987-07-18
14 Jul,Kensington by-election,Kensington by-election,Kensington by-election,Kensington by-election,,Kensington by-election,14 Jul 1987,Kensington by-election,Kensington by-election,1987-07-14
12 Jul,Marplan,The Guardian,45%,43%,,2%,12 Jul 1987,4%,6%,1987-07-12
11 Jul,MORI,,48%,38%,,10%,11 Jul 1987,5%,7%,1987-07-11
3 Jul,Harris,TV-AM,47%,38%,,9%,3 Jul 1987,3%,9%,1987-07-03
28 Jun,MORI,The Sunday Times,48%,38%,,10%,28 Jun 1987,5%,7%,1987-06-28
28 Jun,Audience Selection,,45%,38%,,7%,28 Jun 1987,5%,8%,1987-06-28
27 Jun,NOP,,49%,34%,,15%,27 Jun 1987,4%,10%,1987-06-27
23 Jun,Harris,The Observer,48%,36%,,12%,23 Jun 1987,3%,9%,1987-06-23
13 Jun,Gallup,The Daily Telegraph,42%,43%,,1%,13 Jun 1987,4%,7%,1987-06-13
11 Jun,MORI,,47%,40%,,7%,11 Jun 1987,4%,7%,1987-06-11
7 Jun,Marplan,The Guardian,47%,42%,,5%,7 Jun 1987,3%,5%,1987-06-07
4 Jun,Harris,TV-AM,43%,40%,,3%,4 Jun 1987,2%,12%,1987-06-04
1 Jun,MORI,The Sunday Times,44%,40%,,4%,1 Jun 1987,6%,7%,1987-06-01
29 May,Audience Selection,,40%,43%,,3%,29 May 1987,8%,6%,1987-05-29
23 May,NOP,,47%,37%,,10%,23 May 1987,4%,8%,1987-05-23
19 May,Harris,The Observer,44%,41%,,3%,19 May 1987,2%,10%,1987-05-19
16 May,Gallup,The Daily Telegraph,45%,36%,,9%,16 May 1987,6%,8.5%,1987-05-16
10 May,Marplan,The Guardian,44%,42%,,1%,10 May 1987,4%,7%,1987-05-10
5 May,1988 local elections[14],1988 local elections[14],1988 local elections[14],1988 local elections[14],,1988 local elections[14],5 May 1987,1988 local elections[14],1988 local elections[14],1987-05-05
2 May,Harris,TV-AM,43%,38%,,5%,2 May 1987,–,11%,1987-05-02
26 Apr,MORI,The Sunday Times,44%,42%,,1%,26 Apr 1987,5%,6%,1987-04-26
21 Apr,Harris,The Observer,44%,39%,,5%,21 Apr 1987,5%,10%,1987-04-21
18 Apr,Gallup,The Daily Telegraph,40.5%,41.5%,,1%,18 Apr 1987,4%,11%,1987-04-18
12 Apr,Marplan,The Guardian,43%,42%,,1%,12 Apr 1987,5%,8%,1987-04-12
11 Apr,NOP,,45%,36%,,9%,11 Apr 1987,–,15%,1987-04-11
28 Mar,MORI,The Sunday Times,46%,37%,,9%,28 Mar 1987,6%,8%,1987-03-28
24 Mar,Harris,The Observer,46%,39%,,7%,24 Mar 1987,1%,11%,1987-03-24
21 Mar,Gallup,The Daily Telegraph,42%,36.5%,,5.5%,21 Mar 1987,6.5%,13%,1987-03-21
20 Mar,MORI,,46%,39%,,7%,20 Mar 1987,7%,6%,1987-03-20
13 Mar,Audience Selection,,45%,40%,,5%,13 Mar 1987,–,11%,1987-03-13
8 Mar,Marplan,The Guardian,43%,42%,,1%,8 Mar 1987,–,14%,1987-03-08
3 Mar,The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],,The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],3 Mar 1987,The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],The Liberal Party and the SDP merge to form the Social and Liberal Democrats[15],1987-03-03
3 Mar,Harris,The Observer,47%,36%,,11%,3 Mar 1987,2%,12%,1987-03-03
1 Mar,MORI,The Sunday Times,46%,38%,,8%,1 Mar 1987,–,14%,1987-03-01
29 Feb,Harris,,44%,43%,,1%,29 Feb 1987,–,12%,
15 Feb,Gallup,The Daily Telegraph,46%,36%,,10%,15 Feb 1987,–,15%,1987-02-15
14 Feb,Audience Selection,,45%,41%,,4%,14 Feb 1987,–,11%,1987-02-14
9 Feb,Marplan,The Guardian,45%,41%,,4%,9 Feb 1987,4%,8%,1987-02-09
8 Feb,NOP,,45%,37%,,8%,8 Feb 1987,–,14%,1987-02-08
26 Jan,MORI,The Sunday Times,50%,36%,,14%,26 Jan 1987,–,12%,1987-01-26
18 Jan,Gallup,The Daily Telegraph,45.5%,37%,,7.5%,18 Jan 1987,–,15%,1987-01-18
11 Jan,NOP,,47%,35%,,12%,11 Jan 1987,–,16%,1987-01-11
11 Jan,Marplan,The Guardian,42%,40%,,2%,11 Jan 1987,–,17%,1987-01-11
